"Time","Average Request Rate","edge-server-cv-74d975f7cd-pvhxn Requests/2s","edge-server-cv-74d975f7cd-v2ct9 Requests/2s","edge-server-cv-74d975f7cd-v8hnl Requests/2s","avg_requests/30"
2022-04-19 16:52:58,1.33,1,1,2,4.07
2022-04-19 16:53:00,1.67,2,2,1,4.14
2022-04-19 16:53:02,1.67,2,1,2,4.21
2022-04-19 16:53:04,0.667,1,0,1,4.07
2022-04-19 16:53:06,0,0,,0,3.79
2022-04-19 16:53:08,2.67,2,3,3,4
2022-04-19 16:53:10,1.67,1,2,2,3.83
2022-04-19 16:53:12,1.33,2,1,1,4.07
2022-04-19 16:53:14,0.667,0,2,0,4.21
2022-04-19 16:53:16,0.333,0,0,1,4
2022-04-19 16:53:18,1,1,2,0,3.93
2022-04-19 16:53:20,0.333,1,0,0,3.79
2022-04-19 16:53:22,1,2,1,0,3.66
2022-04-19 16:53:24,1.34,2,0,2.01,3.55
2022-04-19 16:53:26,2,3,3,0,3.59
2022-04-19 16:53:28,1.33,2,2,0,3.59
2022-04-19 16:53:30,1,1,1,1,3.52
2022-04-19 16:53:32,2.33,4,3,0,3.62
2022-04-19 16:53:34,2.33,1,3,3,3.79
2022-04-19 16:53:36,2.33,4,0,3,4.07
2022-04-19 16:53:38,1.33,1,1,2,3.93
2022-04-19 16:53:40,1,1,1,1,3.86
2022-04-19 16:53:42,1.33,2,0,2,3.72
2022-04-19 16:53:44,2,0,3,3,3.83
2022-04-19 16:53:46,1.33,2,2,0,4.17
2022-04-19 16:53:48,1,1,1,1,4.21
2022-04-19 16:53:50,0,0,0,0,4.17
2022-04-19 16:53:52,0.333,0,0,1,4.21
2022-04-19 16:53:54,1.33,2,1,1,4.14
2022-04-19 16:53:56,0.333,1,0,0,3.93
2022-04-19 16:53:58,2,3,3,0,4
2022-04-19 16:54:00,1.33,4,0,0,4.07
2022-04-19 16:54:02,0,0,0,0,3.79
2022-04-19 16:54:04,0.333,0,1,0,3.52
2022-04-19 16:54:06,0.667,1,0,1,3.31
2022-04-19 16:54:08,1,3,0,0,3.21
2022-04-19 16:54:10,1.33,1,0,3,3.17
2022-04-19 16:54:12,1,0,3,0,3.07
2022-04-19 16:54:14,2,3,0,3,2.97
2022-04-19 16:54:16,2,3,3,0,3
2022-04-19 16:54:18,2,2,1,3,3.17
2022-04-19 16:54:20,1.00,,1,1.00,3.28
2022-04-19 16:54:22,1,1,0,2,3.48
2022-04-19 16:54:24,1.33,1,2,1,3.72
2022-04-19 16:54:26,1,2,0,1,3.72
2022-04-19 16:54:28,0.333,1,0,0,3.62
2022-04-19 16:54:30,1.33,1,1,2,3.59
2022-04-19 16:54:32,1.67,1,3,1,3.76
2022-04-19 16:54:34,1,0,1,2,3.90
2022-04-19 16:54:36,1,3,0,0,3.97
2022-04-19 16:54:38,1,,0,2,4.10
2022-04-19 16:54:40,1.67,1,1,3,4.31
2022-04-19 16:54:42,0.333,0,1,0,4.21
2022-04-19 16:54:44,0.665,0,0,1.99,4.00
2022-04-19 16:54:46,1,2,1,0,3.83
2022-04-19 16:54:48,0.667,1,0,1,3.62
2022-04-19 16:54:50,0.667,1,0,1,3.48
2022-04-19 16:54:52,1.67,3,2,0,3.31
2022-04-19 16:54:54,0.667,0,1,1,3.38
2022-04-19 16:54:56,0.667,0,1,1,3.24
2022-04-19 16:54:58,1.67,1,2,2,3.41
2022-04-19 16:55:00,2,2,3,1,3.59
2022-04-19 16:55:02,0.333,0,1,0,3.48
2022-04-19 16:55:04,1.33,2,1,1,3.34
2022-04-19 16:55:06,2,3,0,3,3.31
2022-04-19 16:55:08,1.67,4,1,0,3.28
2022-04-19 16:55:10,0.667,1,1,0,3.07
2022-04-19 16:55:12,1,0,1,2,3.24
2022-04-19 16:55:14,1.67,2,1,2,3.38
2022-04-19 16:55:16,0.332,0,0,0.997,3.31
2022-04-19 16:55:18,0.333,1,0,0,3.31
2022-04-19 16:55:20,0.667,0,2,0,3.41
2022-04-19 16:55:22,1.33,0,1,3,3.34
2022-04-19 16:55:24,1,1,1,1,3.48
2022-04-19 16:55:26,0.667,0,1,1,3.52
2022-04-19 16:55:28,1.33,1,1,2,3.34
2022-04-19 16:55:30,0.667,1,1,0,3.31
2022-04-19 16:55:32,1.50,1,,2,3.58
2022-04-19 16:55:34,1.67,2,2.00,1,3.69
2022-04-19 16:55:36,1,1,,1,3.61
2022-04-19 16:55:38,0.500,0,,1,3.55
2022-04-19 16:55:40,0,0,,0,3.52
2022-04-19 16:55:42,1.67,2,2.01,1,3.59
2022-04-19 16:55:44,2,2,4,0,3.69
2022-04-19 16:55:46,3,5,2,2,4.03
2022-04-19 16:55:48,1.50,,2,1,4.00
2022-04-19 16:55:50,2,3,1,2,4.28
2022-04-19 16:55:52,1.33,2,1,1,4.24
2022-04-19 16:55:54,2.00,2,3,0.993,4.31
2022-04-19 16:55:56,0.667,0,1,1,4.34
2022-04-19 16:55:58,1.33,0,2,2,4.28
2022-04-19 16:56:00,2,2,1,3,4.41
2022-04-19 16:56:02,1.33,1.99,1,1,4.31
2022-04-19 16:56:04,1.33,0,3,1,4.21
2022-04-19 16:56:06,1.67,2,0,3,4.20
2022-04-19 16:56:08,1,0,2,1,4.36
2022-04-19 16:56:10,1,0,2,1,4.38
2022-04-19 16:56:12,1,0,3,0,4.28
2022-04-19 16:56:14,1.33,2,2,0,4.03
2022-04-19 16:56:16,0,0,0,0,3.76
2022-04-19 16:56:18,1.33,1,2,1,3.72
2022-04-19 16:56:20,1.33,0,2,2,3.66
2022-04-19 16:56:22,1.33,2,2,0,3.86
2022-04-19 16:56:24,0.333,0,1,0,3.69
2022-04-19 16:56:26,1,1,0,2,3.72
2022-04-19 16:56:28,1.33,1,0,3,3.65
2022-04-19 16:56:30,0.333,0,1,0,3.66
2022-04-19 16:56:32,3,3,3,3,3.76
2022-04-19 16:56:34,1.33,2,1,1,3.86
2022-04-19 16:56:36,0.333,0,0,1,3.72
2022-04-19 16:56:38,1.67,3,1,1,3.86
2022-04-19 16:56:40,0.333,0,0,1,3.69
2022-04-19 16:56:42,0.333,0,0,1,3.72
2022-04-19 16:56:44,1,2,1,0,3.66
2022-04-19 16:56:46,2,3,2,1,3.72
2022-04-19 16:56:48,0.667,1,0,1,3.72
2022-04-19 16:56:50,2,1,,3,3.69
2022-04-19 16:56:52,1.67,0,4,1,3.69
2022-04-19 16:56:54,2,0,4,2,3.86
2022-04-19 16:56:56,1,1,1,1,3.86
2022-04-19 16:56:58,1.33,2,2,0,3.76
2022-04-19 16:57:00,1.50,1,2,,3.97
2022-04-19 16:57:02,1.67,2,2,1,3.76
2022-04-19 16:57:04,2.33,2,1,4,3.90
2022-04-19 16:57:06,2,1,4,1,4.14
2022-04-19 16:57:08,1.67,2,2,1,4.24
2022-04-19 16:57:10,1.67,3,2,0,4.45
2022-04-19 16:57:12,0.333,1,0,0,4.45
2022-04-19 16:57:14,1.67,1,1,3,4.52
2022-04-19 16:57:16,2.33,1,3,3,4.45
2022-04-19 16:57:18,0.667,1,1,0,4.33
2022-04-19 16:57:20,1,1,2,0,4.34
2022-04-19 16:57:22,1.51,1.01,,2,4.26
2022-04-19 16:57:24,0.501,0,,1.00,3.95
2022-04-19 16:57:26,1.50,2,,1,3.96
2022-04-19 16:57:28,2.50,4,,1,4.21
2022-04-19 16:57:30,2.33,2,3,2,4.28
2022-04-19 16:57:32,0,0,0,0,4.07
2022-04-19 16:57:34,0.500,,0,1,3.76
2022-04-19 16:57:36,0.334,1.00,0,0,3.62
2022-04-19 16:57:38,2.00,1,2,2.99,3.72
2022-04-19 16:57:40,0.667,0,0,2,3.66
2022-04-19 16:57:42,1.67,0,4,1,3.83
2022-04-19 16:57:44,1,0,2,1,3.86
2022-04-19 16:57:46,1.33,1,3,0,3.76
2022-04-19 16:57:48,1.33,3,0,1,3.79
2022-04-19 16:57:50,0.667,1,1,0,3.69
2022-04-19 16:57:52,0.667,2,0,0,3.43
2022-04-19 16:57:54,2.33,3,2,2,3.57
2022-04-19 16:57:56,1.33,1,1,2,3.70
2022-04-19 16:57:58,0.667,0,2,0,3.69
2022-04-19 16:58:00,1.67,1,2,2,3.52
2022-04-19 16:58:02,1.67,2,2,1,3.86
2022-04-19 16:58:04,1.33,1,1,2,3.90
2022-04-19 16:58:06,1,1,0,2,3.83
2022-04-19 16:58:08,1.33,1,3,0,3.72
2022-04-19 16:58:10,1.33,2,0,2,3.72
2022-04-19 16:58:12,1.67,1,2,2,3.76
2022-04-19 16:58:14,0,0,0,,3.69
2022-04-19 16:58:16,1.00,1,1,1.00,3.76
2022-04-19 16:58:18,1,2,1,0,3.79
2022-04-19 16:58:20,1,3,0,0,3.93
2022-04-19 16:58:22,1.33,2,2,0,4.10
2022-04-19 16:58:24,0.333,0,1,0,3.76
2022-04-19 16:58:26,2.67,3,4,1,3.90
2022-04-19 16:58:28,2.67,2,3,3,4.21
2022-04-19 16:58:30,1.67,2,0,3,4.07
2022-04-19 16:58:32,0,0,0,0,3.90
2022-04-19 16:58:34,1,0,2,,3.86
2022-04-19 16:58:36,1.00,0,2,1.00,3.90
2022-04-19 16:58:38,1.33,2,0,2,4
2022-04-19 16:58:40,3.49,,2,4.99,3.97
2022-04-19 16:58:42,1.34,4.01,0,0,3.69
2022-04-19 16:58:44,1,0,2,1,3.86
2022-04-19 16:58:46,1.67,1,2.01,2,3.83
2022-04-19 16:58:48,0.333,1,0,0,3.66
2022-04-19 16:58:50,0.333,1,0,0,3.59
2022-04-19 16:58:52,2.01,2,3.02,1,3.83
2022-04-19 16:58:54,1,1,2,0,3.86
2022-04-19 16:58:56,2.33,3,2,2,3.79
2022-04-19 16:58:58,0.667,1,1,0,3.62
2022-04-19 16:59:00,0,0,0,0,3.52
2022-04-19 16:59:02,0.667,1,1,0,3.55
2022-04-19 16:59:04,0.667,1,1,0,3.48
2022-04-19 16:59:06,1.33,1,1,2,3.45
2022-04-19 16:59:08,0.667,0,0,2,3.45
2022-04-19 16:59:10,0.500,1,,0,3.30
2022-04-19 16:59:12,1.67,0,2.00,3,3.38
2022-04-19 16:59:14,3.33,2,4,4,3.66
2022-04-19 16:59:16,1,1,2,0,3.62
2022-04-19 16:59:18,0.667,1,1,0,3.72
2022-04-19 16:59:20,0.667,2,0,0,3.69
2022-04-19 16:59:22,0.667,0,2,0,3.48
2022-04-19 16:59:24,1,2,1,0,3.45
2022-04-19 16:59:26,0.667,1,1,0,3.28
2022-04-19 16:59:28,0.500,1,0,,3.17
2022-04-19 16:59:30,2,2,0,4,3.38
2022-04-19 16:59:32,1.67,1,2,2,3.55
2022-04-19 16:59:34,1.33,3,0,1,3.66
2022-04-19 16:59:36,1.33,2,1,1,3.66
2022-04-19 16:59:38,1.34,0,3.01,1,3.79
2022-04-19 16:59:40,1.67,1,3,1,3.79
2022-04-19 16:59:42,0,0,0,0,3.66
2022-04-19 16:59:44,0.670,1,1.01,0,3.45
2022-04-19 16:59:46,1.67,1,2,2,3.41
2022-04-19 16:59:48,1.33,0,2,2,3.48
2022-04-19 16:59:50,1.33,2,1,1,3.66
2022-04-19 16:59:52,2.33,3,2,2,3.86
2022-04-19 16:59:54,1,0,1,2,3.90
2022-04-19 16:59:56,2.33,3,2,2,4.07
2022-04-19 16:59:58,1.67,1,3,1,4.17
2022-04-19 17:00:00,2,3,1,2,4.24
2022-04-19 17:00:02,1,,2,0,4.14
2022-04-19 17:00:04,3.01,4,3.02,2,4.17
2022-04-19 17:00:06,1.33,2,1,1,4.28
2022-04-19 17:00:08,1,0,2,1,4.31
2022-04-19 17:00:10,1.67,2,2,1,4.21
2022-04-19 17:00:12,1.33,2,1,1,4.38
2022-04-19 17:00:14,1,2,1,0,4.55
2022-04-19 17:00:16,1.67,1,2,2,4.45
2022-04-19 17:00:18,1.33,0,3,1,4.34
2022-04-19 17:00:20,2,1,3,,4.31
2022-04-19 17:00:22,2,2,1,3,4.24
2022-04-19 17:00:24,0.667,1,0,1,4.31
2022-04-19 17:00:26,2,1,3,2,4.31
2022-04-19 17:00:28,0,0,0,0,4.07
2022-04-19 17:00:30,1,1,1,1,3.96
2022-04-19 17:00:32,2,1,3,2,4.14
2022-04-19 17:00:34,1.67,3,0,2,3.69
2022-04-19 17:00:36,1.67,2,2,1,3.69
2022-04-19 17:00:38,1.67,1,2,2,4
2022-04-19 17:00:40,1.33,1,2,1,3.86
2022-04-19 17:00:42,1,1,2,0,3.66
2022-04-19 17:00:44,1,3,0,0,3.76
2022-04-19 17:00:46,1.33,3,1,0,3.76
2022-04-19 17:00:48,0.667,1,1,0,3.76
2022-04-19 17:00:50,0.667,2,0,0,3.62
2022-04-19 17:00:52,1,1,1,1,3.41
2022-04-19 17:00:54,1,1,1,1,3.59
2022-04-19 17:00:56,1.33,2,1,1,3.45
2022-04-19 17:00:58,1.33,1,1,2,3.62
2022-04-19 17:01:00,1.33,0,2,2,3.79
2022-04-19 17:01:02,1,1,1,1,3.86
2022-04-19 17:01:04,1.33,1,2,1,3.86
2022-04-19 17:01:06,1.33,0,3,1,3.62
2022-04-19 17:01:08,0.667,1,0,1,3.45
2022-04-19 17:01:10,0.667,1,1,0,3.38
2022-04-19 17:01:12,1.33,2,1,1,3.45
2022-04-19 17:01:14,1.33,2,2,0,3.52
2022-04-19 17:01:16,0.333,1,0,0,3.41
2022-04-19 17:01:18,0.667,1,1,0,3.45
2022-04-19 17:01:20,1,2,1,0,3.38
2022-04-19 17:01:22,2.33,2,2,3,3.41
2022-04-19 17:01:24,1,0,2,1,3.52
2022-04-19 17:01:26,1,0,1,2,3.38
2022-04-19 17:01:28,1,0,1,2,3.31
2022-04-19 17:01:30,2,1,3,2,3.38
2022-04-19 17:01:32,2.67,2,3,3,3.52
2022-04-19 17:01:34,1.67,2,1,2,3.52
2022-04-19 17:01:36,0.667,1,0,1,3.45
2022-04-19 17:01:38,1.33,2,0,2,3.62
2022-04-19 17:01:40,0.333,0,1,0,3.52
2022-04-19 17:01:42,2.33,1,4,2,3.62
2022-04-19 17:01:44,2.33,3,3,1,3.76
2022-04-19 17:01:46,0.667,1,1,0,3.83
2022-04-19 17:01:48,1.33,0,3,1,3.97
2022-04-19 17:01:50,1.67,2,1,2,4
2022-04-19 17:01:52,0.667,0,1,1,3.79
2022-04-19 17:01:54,1.33,1,1,2,3.97
2022-04-19 17:01:56,2,1,3,2,4.03
2022-04-19 17:01:58,0.667,1,1,0,3.90
2022-04-19 17:02:00,1.67,2,2,1,3.97
2022-04-19 17:02:02,0.333,1,0,0,3.86
2022-04-19 17:02:04,1,3,0,0,3.83
2022-04-19 17:02:06,0.333,1,0,0,3.76
2022-04-19 17:02:08,1.67,0,2,3,3.83
2022-04-19 17:02:10,1,1,1,1,3.90
2022-04-19 17:02:12,2,1,3,2,3.86
2022-04-19 17:02:14,1,1,1,1,3.76
2022-04-19 17:02:16,0,0,0,,3.76
2022-04-19 17:02:18,0,0,0,,3.55
2022-04-19 17:02:20,1.34,0,1,3.02,3.69
2022-04-19 17:02:22,1.33,1,1,2,3.66
2022-04-19 17:02:24,2.33,2,3,2,3.69
2022-04-19 17:02:26,1,2,0,,3.55
2022-04-19 17:02:28,1.50,1,2,,3.45
2022-04-19 17:02:30,1.50,1,2,,3.62
2022-04-19 17:02:32,2,3,1,,3.63
2022-04-19 17:02:34,2.50,3,2,,3.67
2022-04-19 17:02:36,0.500,1,0,,3.61
2022-04-19 17:02:38,1.67,2,1,2.02,3.79
2022-04-19 17:02:40,0.667,2,0,0,3.76
2022-04-19 17:02:42,1.50,2,1,,3.58
2022-04-19 17:02:44,0.333,0,1,0,3.52
2022-04-19 17:02:46,1.67,1,2,2,3.65
2022-04-19 17:02:48,2.33,2,1,4,3.90
2022-04-19 17:02:50,0.333,1,0,0,3.90
2022-04-19 17:02:52,2.00,1,3,1.99,4.03
2022-04-19 17:02:54,2,3,1,,4.07
2022-04-19 17:02:56,0.667,0,1,1,3.74
2022-04-19 17:02:58,1.67,1.01,1,3,3.92
2022-04-19 17:03:00,1,1,2,0,3.64
2022-04-19 17:03:02,1.33,2,1,1,3.67
2022-04-19 17:03:04,0.667,1,1,0,3.63
2022-04-19 17:03:06,0.333,0,1,0,3.76
2022-04-19 17:03:08,1,0,2,1,3.76
2022-04-19 17:03:10,0.667,0,0,2,3.66
2022-04-19 17:03:12,0.667,1,1,0,3.72
2022-04-19 17:03:14,1.33,0,1,3,3.83
2022-04-19 17:03:16,0.333,0,1,0,3.62
2022-04-19 17:03:18,1,0,2,1,3.59
2022-04-19 17:03:20,1.67,2,1,2,3.72
2022-04-19 17:03:22,2,4,0,2,3.55
2022-04-19 17:03:24,2.33,1,3,3,3.76
2022-04-19 17:03:26,1,1,1,1,3.83
2022-04-19 17:03:28,2.33,2,2,3,3.90
2022-04-19 17:03:30,2,2,2,2,4
2022-04-19 17:03:32,2.33,3,2,2,4.14
2022-04-19 17:03:34,1.33,0,4,0,4.21
2022-04-19 17:03:36,2.33,1,2,4,4.31
2022-04-19 17:03:38,0.667,0,0,2,4.14
2022-04-19 17:03:40,0.667,1,1,0,4.14
2022-04-19 17:03:42,2.33,2,3,2,4.28
2022-04-19 17:03:44,0.667,1,1,0,4.24
2022-04-19 17:03:46,0.667,0,1,1,4.10
2022-04-19 17:03:48,1,1,1,1,4.07
2022-04-19 17:03:50,2,2,1,3,4.14
2022-04-19 17:03:52,1.33,1,2,1,4
2022-04-19 17:03:54,1,1,1,1,3.79
2022-04-19 17:03:56,1.33,2,1,1,3.79
2022-04-19 17:03:58,0.667,1,1,0,3.62
2022-04-19 17:04:00,0.667,0,0,2,3.38
2022-04-19 17:04:02,1.33,1,1,2,3.21
2022-04-19 17:04:04,1.67,2,2,1,3.34
2022-04-19 17:04:06,1.33,0,1,3,3.45
2022-04-19 17:04:08,1.67,2,2,1,3.55
2022-04-19 17:04:10,1.33,2,1,1,3.55
2022-04-19 17:04:12,1.50,1,2,,3.42
2022-04-19 17:04:14,1,2,0,,3.42
2022-04-19 17:04:16,1.00,1,1,1.00,3.76
2022-04-19 17:04:18,2,1,2,3,3.93
2022-04-19 17:04:20,1,,1,1,4.00
2022-04-19 17:04:22,1.33,3,0,1,4.03
2022-04-19 17:04:24,1.67,1,3,1,4.21
2022-04-19 17:04:26,0.667,1,0,1,4.14
2022-04-19 17:04:28,1.33,0,3,1,4.21
2022-04-19 17:04:30,2.00,2.99,1,2,4.38
2022-04-19 17:04:32,1.33,1,1,2,4.28
2022-04-19 17:04:34,0,0,0,0,3.86

