"Time","Average Response Rate","edge-server-cv-78d887c496-jfgxb Response","edge-server-cv-78d887c496-qwz6r Response"
2022-04-19 13:40:36,267 ms,274 ms,260 ms
2022-04-19 13:40:38,268 ms,274 ms,261 ms
2022-04-19 13:40:40,268 ms,271 ms,264 ms
2022-04-19 13:40:42,269 ms,272 ms,267 ms
2022-04-19 13:40:44,266 ms,260 ms,271 ms
2022-04-19 13:40:46,248 ms,245 ms,252 ms
2022-04-19 13:40:48,241 ms,241 ms,241 ms
2022-04-19 13:40:50,234 ms,232 ms,235 ms
2022-04-19 13:40:52,236 ms,238 ms,233 ms
2022-04-19 13:40:54,239 ms,245 ms,233 ms
2022-04-19 13:40:56,256 ms,237 ms,274 ms
2022-04-19 13:40:58,268 ms,245 ms,292 ms
2022-04-19 13:41:00,265 ms,241 ms,289 ms
2022-04-19 13:41:02,268 ms,246 ms,290 ms
2022-04-19 13:41:04,267 ms,243 ms,290 ms
2022-04-19 13:41:06,254 ms,250 ms,258 ms
2022-04-19 13:41:08,250 ms,251 ms,250 ms
2022-04-19 13:41:10,248 ms,243 ms,253 ms
2022-04-19 13:41:12,246 ms,240 ms,251 ms
2022-04-19 13:41:14,244 ms,234 ms,254 ms
2022-04-19 13:41:16,243 ms,229 ms,257 ms
2022-04-19 13:41:18,243 ms,230 ms,255 ms
2022-04-19 13:41:20,248 ms,236 ms,260 ms
2022-04-19 13:41:22,268 ms,274 ms,262 ms
2022-04-19 13:41:24,275 ms,288 ms,263 ms
2022-04-19 13:41:26,282 ms,290 ms,274 ms
2022-04-19 13:41:28,309 ms,327 ms,292 ms
2022-04-19 13:41:30,310 ms,329 ms,291 ms
2022-04-19 13:41:32,304 ms,320 ms,289 ms
2022-04-19 13:41:34,302 ms,315 ms,289 ms
2022-04-19 13:41:36,284 ms,275 ms,293 ms
2022-04-19 13:41:38,270 ms,255 ms,285 ms
2022-04-19 13:41:40,269 ms,255 ms,284 ms
2022-04-19 13:41:42,268 ms,257 ms,279 ms
2022-04-19 13:41:44,263 ms,253 ms,274 ms
2022-04-19 13:41:46,259 ms,245 ms,274 ms
2022-04-19 13:41:48,252 ms,239 ms,265 ms
2022-04-19 13:41:50,264 ms,245 ms,284 ms
2022-04-19 13:41:52,297 ms,301 ms,292 ms
2022-04-19 13:41:54,307 ms,325 ms,288 ms
2022-04-19 13:41:56,301 ms,306 ms,297 ms
2022-04-19 13:41:58,292 ms,312 ms,271 ms
2022-04-19 13:42:00,278 ms,285 ms,271 ms
2022-04-19 13:42:02,269 ms,265 ms,273 ms
2022-04-19 13:42:04,266 ms,273 ms,260 ms
2022-04-19 13:42:06,266 ms,271 ms,260 ms
2022-04-19 13:42:08,261 ms,269 ms,253 ms
2022-04-19 13:42:10,297 ms,269 ms,325 ms
2022-04-19 13:42:12,293 ms,269 ms,316 ms
2022-04-19 13:42:14,297 ms,263 ms,330 ms
2022-04-19 13:42:16,293 ms,258 ms,328 ms
2022-04-19 13:42:18,289 ms,304 ms,274 ms
2022-04-19 13:42:20,295 ms,310 ms,280 ms
2022-04-19 13:42:22,285 ms,305 ms,265 ms
2022-04-19 13:42:24,289 ms,309 ms,268 ms
2022-04-19 13:42:26,284 ms,305 ms,263 ms
2022-04-19 13:42:28,293 ms,303 ms,282 ms
2022-04-19 13:42:30,296 ms,308 ms,284 ms
2022-04-19 13:42:32,288 ms,300 ms,276 ms
2022-04-19 13:42:34,291 ms,298 ms,285 ms
2022-04-19 13:42:36,291 ms,302 ms,279 ms
2022-04-19 13:42:38,254 ms,247 ms,262 ms
2022-04-19 13:42:40,271 ms,251 ms,291 ms
2022-04-19 13:42:42,277 ms,258 ms,297 ms
2022-04-19 13:42:44,274 ms,254 ms,294 ms
2022-04-19 13:42:46,278 ms,254 ms,303 ms
2022-04-19 13:42:48,271 ms,264 ms,278 ms
2022-04-19 13:42:50,279 ms,287 ms,271 ms
2022-04-19 13:42:52,262 ms,271 ms,254 ms
2022-04-19 13:42:54,261 ms,272 ms,251 ms
2022-04-19 13:42:56,252 ms,271 ms,233 ms
2022-04-19 13:42:58,255 ms,276 ms,235 ms
2022-04-19 13:43:00,262 ms,267 ms,257 ms
2022-04-19 13:43:02,270 ms,274 ms,267 ms
2022-04-19 13:43:04,280 ms,270 ms,290 ms
2022-04-19 13:43:06,276 ms,262 ms,291 ms
2022-04-19 13:43:08,272 ms,256 ms,289 ms
2022-04-19 13:43:10,279 ms,262 ms,297 ms
2022-04-19 13:43:12,280 ms,262 ms,299 ms
2022-04-19 13:43:14,277 ms,258 ms,296 ms
2022-04-19 13:43:16,277 ms,269 ms,285 ms
2022-04-19 13:43:18,255 ms,250 ms,260 ms
2022-04-19 13:43:20,265 ms,260 ms,270 ms
2022-04-19 13:43:22,291 ms,313 ms,269 ms
2022-04-19 13:43:24,309 ms,331 ms,287 ms
2022-04-19 13:43:26,307 ms,322 ms,291 ms
2022-04-19 13:43:28,313 ms,324 ms,302 ms
2022-04-19 13:43:30,307 ms,314 ms,299 ms
2022-04-19 13:43:32,280 ms,264 ms,297 ms
2022-04-19 13:43:34,279 ms,295 ms,264 ms
2022-04-19 13:43:36,279 ms,302 ms,257 ms
2022-04-19 13:43:38,317 ms,297 ms,337 ms
2022-04-19 13:43:40,320 ms,299 ms,341 ms
2022-04-19 13:43:42,323 ms,304 ms,342 ms
2022-04-19 13:43:44,297 ms,247 ms,346 ms
2022-04-19 13:43:46,250 ms,244 ms,255 ms
2022-04-19 13:43:48,251 ms,248 ms,255 ms
2022-04-19 13:43:50,264 ms,256 ms,273 ms
2022-04-19 13:43:52,265 ms,261 ms,269 ms
2022-04-19 13:43:54,276 ms,264 ms,288 ms
2022-04-19 13:43:56,273 ms,264 ms,282 ms
2022-04-19 13:43:58,267 ms,261 ms,274 ms
2022-04-19 13:44:00,268 ms,275 ms,262 ms
2022-04-19 13:44:02,268 ms,273 ms,263 ms
2022-04-19 13:44:04,281 ms,309 ms,253 ms
2022-04-19 13:44:06,287 ms,319 ms,255 ms
2022-04-19 13:44:08,301 ms,340 ms,262 ms
2022-04-19 13:44:10,302 ms,319 ms,285 ms
2022-04-19 13:44:12,297 ms,302 ms,291 ms
2022-04-19 13:44:14,281 ms,253 ms,309 ms
2022-04-19 13:44:16,278 ms,259 ms,297 ms
2022-04-19 13:44:18,271 ms,251 ms,291 ms
2022-04-19 13:44:20,273 ms,251 ms,295 ms
2022-04-19 13:44:22,271 ms,268 ms,275 ms
2022-04-19 13:44:24,280 ms,274 ms,285 ms
2022-04-19 13:44:26,307 ms,326 ms,289 ms
2022-04-19 13:44:28,302 ms,333 ms,272 ms
2022-04-19 13:44:30,317 ms,329 ms,305 ms
2022-04-19 13:44:32,322 ms,328 ms,316 ms
2022-04-19 13:44:34,401 ms,478 ms,325 ms
2022-04-19 13:44:36,413 ms,507 ms,319 ms
2022-04-19 13:44:38,395 ms,468 ms,322 ms
2022-04-19 13:44:40,377 ms,481 ms,273 ms
2022-04-19 13:44:42,346 ms,426 ms,266 ms
2022-04-19 13:44:44,266 ms,266 ms,266 ms
2022-04-19 13:44:46,265 ms,257 ms,273 ms
2022-04-19 13:44:48,266 ms,276 ms,257 ms
2022-04-19 13:44:50,271 ms,286 ms,255 ms
2022-04-19 13:44:52,274 ms,287 ms,261 ms
2022-04-19 13:44:54,277 ms,303 ms,251 ms
2022-04-19 13:44:56,269 ms,279 ms,260 ms
2022-04-19 13:44:58,257 ms,249 ms,266 ms
2022-04-19 13:45:00,255 ms,245 ms,266 ms
2022-04-19 13:45:02,267 ms,269 ms,265 ms
2022-04-19 13:45:04,274 ms,280 ms,269 ms
2022-04-19 13:45:06,275 ms,287 ms,263 ms
2022-04-19 13:45:08,286 ms,306 ms,266 ms
2022-04-19 13:45:10,272 ms,289 ms,255 ms
2022-04-19 13:45:12,299 ms,338 ms,260 ms
2022-04-19 13:45:14,302 ms,343 ms,262 ms
2022-04-19 13:45:16,305 ms,338 ms,271 ms
2022-04-19 13:45:18,317 ms,356 ms,278 ms
2022-04-19 13:45:20,325 ms,370 ms,280 ms
2022-04-19 13:45:22,284 ms,290 ms,278 ms
2022-04-19 13:45:24,282 ms,290 ms,275 ms
2022-04-19 13:45:26,281 ms,292 ms,270 ms
2022-04-19 13:45:28,282 ms,294 ms,269 ms
2022-04-19 13:45:30,277 ms,287 ms,266 ms
2022-04-19 13:45:32,254 ms,247 ms,260 ms
2022-04-19 13:45:34,244 ms,247 ms,241 ms
2022-04-19 13:45:36,255 ms,262 ms,249 ms
2022-04-19 13:45:38,257 ms,264 ms,251 ms
2022-04-19 13:45:40,264 ms,275 ms,252 ms
2022-04-19 13:45:42,269 ms,281 ms,257 ms
2022-04-19 13:45:44,269 ms,278 ms,260 ms
2022-04-19 13:45:46,296 ms,327 ms,266 ms
2022-04-19 13:45:48,297 ms,323 ms,271 ms
2022-04-19 13:45:50,293 ms,321 ms,265 ms
2022-04-19 13:45:52,287 ms,309 ms,265 ms
2022-04-19 13:45:54,299 ms,336 ms,261 ms
2022-04-19 13:45:56,294 ms,319 ms,268 ms
2022-04-19 13:45:58,299 ms,324 ms,273 ms
2022-04-19 13:46:00,297 ms,321 ms,273 ms
2022-04-19 13:46:02,305 ms,289 ms,322 ms
2022-04-19 13:46:04,338 ms,289 ms,387 ms
2022-04-19 13:46:06,328 ms,274 ms,382 ms
2022-04-19 13:46:08,337 ms,271 ms,403 ms
2022-04-19 13:46:10,359 ms,261 ms,457 ms
2022-04-19 13:46:12,259 ms,261 ms,257 ms
2022-04-19 13:46:14,262 ms,264 ms,259 ms
2022-04-19 13:46:16,260 ms,269 ms,251 ms
2022-04-19 13:46:18,262 ms,272 ms,251 ms
2022-04-19 13:46:20,268 ms,283 ms,252 ms
2022-04-19 13:46:22,269 ms,283 ms,255 ms
2022-04-19 13:46:24,271 ms,284 ms,258 ms
2022-04-19 13:46:26,263 ms,267 ms,258 ms
2022-04-19 13:46:28,262 ms,257 ms,267 ms
2022-04-19 13:46:30,262 ms,253 ms,271 ms
2022-04-19 13:46:32,280 ms,255 ms,304 ms
2022-04-19 13:46:34,278 ms,261 ms,296 ms
2022-04-19 13:46:36,281 ms,253 ms,309 ms
2022-04-19 13:46:38,278 ms,259 ms,297 ms
2022-04-19 13:46:40,269 ms,259 ms,279 ms
2022-04-19 13:46:42,264 ms,258 ms,270 ms
2022-04-19 13:46:44,263 ms,255 ms,271 ms
2022-04-19 13:46:46,259 ms,257 ms,261 ms
2022-04-19 13:46:48,265 ms,252 ms,277 ms
2022-04-19 13:46:50,282 ms,251 ms,314 ms
2022-04-19 13:46:52,286 ms,255 ms,317 ms
2022-04-19 13:46:54,286 ms,248 ms,324 ms
2022-04-19 13:46:56,288 ms,252 ms,325 ms
2022-04-19 13:46:58,271 ms,258 ms,284 ms
2022-04-19 13:47:00,273 ms,259 ms,287 ms
2022-04-19 13:47:02,275 ms,284 ms,266 ms
2022-04-19 13:47:04,269 ms,286 ms,253 ms
2022-04-19 13:47:06,253 ms,265 ms,242 ms
2022-04-19 13:47:08,283 ms,319 ms,246 ms
2022-04-19 13:47:10,275 ms,308 ms,241 ms
2022-04-19 13:47:12,267 ms,302 ms,231 ms
2022-04-19 13:47:14,294 ms,302 ms,285 ms
2022-04-19 13:47:16,287 ms,297 ms,277 ms
2022-04-19 13:47:18,290 ms,304 ms,276 ms
2022-04-19 13:47:20,299 ms,311 ms,288 ms
2022-04-19 13:47:22,295 ms,303 ms,286 ms
2022-04-19 13:47:24,269 ms,268 ms,270 ms
2022-04-19 13:47:26,271 ms,264 ms,277 ms
2022-04-19 13:47:28,269 ms,259 ms,278 ms
2022-04-19 13:47:30,260 ms,260 ms,261 ms
2022-04-19 13:47:32,256 ms,255 ms,256 ms
2022-04-19 13:47:34,259 ms,259 ms,258 ms
2022-04-19 13:47:36,258 ms,264 ms,253 ms
2022-04-19 13:47:38,276 ms,288 ms,264 ms
2022-04-19 13:47:40,270 ms,283 ms,257 ms
2022-04-19 13:47:42,285 ms,314 ms,257 ms
2022-04-19 13:47:44,288 ms,318 ms,257 ms
2022-04-19 13:47:46,292 ms,333 ms,252 ms
2022-04-19 13:47:48,294 ms,341 ms,247 ms
2022-04-19 13:47:50,322 ms,382 ms,263 ms
2022-04-19 13:47:52,312 ms,375 ms,250 ms
2022-04-19 13:47:54,296 ms,350 ms,241 ms
2022-04-19 13:47:56,295 ms,349 ms,242 ms
2022-04-19 13:47:58,248 ms,256 ms,239 ms
2022-04-19 13:48:00,246 ms,255 ms,238 ms
2022-04-19 13:48:02,243 ms,256 ms,230 ms
2022-04-19 13:48:04,248 ms,264 ms,231 ms
2022-04-19 13:48:06,246 ms,260 ms,233 ms
2022-04-19 13:48:08,248 ms,261 ms,234 ms
2022-04-19 13:48:10,249 ms,262 ms,237 ms
2022-04-19 13:48:12,272 ms,266 ms,278 ms
2022-04-19 13:48:14,269 ms,260 ms,278 ms
2022-04-19 13:48:16,294 ms,308 ms,279 ms
2022-04-19 13:48:18,306 ms,335 ms,277 ms
2022-04-19 13:48:20,287 ms,324 ms,249 ms
2022-04-19 13:48:22,284 ms,312 ms,255 ms
2022-04-19 13:48:24,285 ms,302 ms,267 ms
2022-04-19 13:48:26,256 ms,243 ms,270 ms
2022-04-19 13:48:28,276 ms,248 ms,303 ms
2022-04-19 13:48:30,291 ms,277 ms,304 ms
2022-04-19 13:48:32,303 ms,282 ms,325 ms
2022-04-19 13:48:34,304 ms,306 ms,301 ms
2022-04-19 13:48:36,301 ms,317 ms,284 ms
2022-04-19 13:48:38,288 ms,324 ms,253 ms
2022-04-19 13:48:40,276 ms,288 ms,264 ms
2022-04-19 13:48:42,272 ms,286 ms,257 ms
2022-04-19 13:48:44,263 ms,258 ms,268 ms
2022-04-19 13:48:46,278 ms,261 ms,295 ms
2022-04-19 13:48:48,276 ms,265 ms,286 ms
2022-04-19 13:48:50,270 ms,264 ms,276 ms
2022-04-19 13:48:52,288 ms,276 ms,300 ms
2022-04-19 13:48:54,284 ms,277 ms,291 ms
2022-04-19 13:48:56,282 ms,275 ms,288 ms
2022-04-19 13:48:58,312 ms,321 ms,304 ms
2022-04-19 13:49:00,314 ms,331 ms,298 ms
2022-04-19 13:49:02,314 ms,343 ms,284 ms
2022-04-19 13:49:04,305 ms,331 ms,279 ms
2022-04-19 13:49:06,272 ms,283 ms,262 ms
2022-04-19 13:49:08,254 ms,252 ms,257 ms
2022-04-19 13:49:10,258 ms,258 ms,257 ms
2022-04-19 13:49:12,257 ms,265 ms,249 ms
2022-04-19 13:49:14,247 ms,259 ms,236 ms
2022-04-19 13:49:16,248 ms,263 ms,232 ms
2022-04-19 13:49:18,247 ms,266 ms,229 ms
2022-04-19 13:49:20,272 ms,314 ms,231 ms
2022-04-19 13:49:22,269 ms,304 ms,233 ms
2022-04-19 13:49:24,279 ms,299 ms,258 ms
2022-04-19 13:49:26,292 ms,304 ms,281 ms
2022-04-19 13:49:28,291 ms,296 ms,286 ms
2022-04-19 13:49:30,281 ms,266 ms,295 ms
2022-04-19 13:49:32,281 ms,257 ms,305 ms
2022-04-19 13:49:34,251 ms,246 ms,256 ms
2022-04-19 13:49:36,251 ms,245 ms,257 ms
2022-04-19 13:49:38,247 ms,239 ms,254 ms
2022-04-19 13:49:40,260 ms,264 ms,256 ms
2022-04-19 13:49:42,269 ms,263 ms,274 ms
2022-04-19 13:49:44,277 ms,261 ms,292 ms
2022-04-19 13:49:46,281 ms,263 ms,298 ms
2022-04-19 13:49:48,282 ms,258 ms,305 ms
2022-04-19 13:49:50,276 ms,262 ms,291 ms
2022-04-19 13:49:52,264 ms,259 ms,269 ms
2022-04-19 13:49:54,262 ms,259 ms,266 ms
2022-04-19 13:49:56,256 ms,256 ms,255 ms
2022-04-19 13:49:58,261 ms,257 ms,265 ms
2022-04-19 13:50:00,253 ms,253 ms,253 ms
2022-04-19 13:50:02,264 ms,288 ms,241 ms
2022-04-19 13:50:04,293 ms,296 ms,289 ms
2022-04-19 13:50:06,314 ms,315 ms,314 ms
2022-04-19 13:50:08,311 ms,320 ms,301 ms
2022-04-19 13:50:10,310 ms,321 ms,299 ms
2022-04-19 13:50:12,306 ms,330 ms,282 ms
2022-04-19 13:50:14,304 ms,337 ms,272 ms
2022-04-19 13:50:16,283 ms,312 ms,253 ms
2022-04-19 13:50:18,285 ms,312 ms,258 ms
2022-04-19 13:50:20,338 ms,306 ms,371 ms
2022-04-19 13:50:22,332 ms,285 ms,380 ms
2022-04-19 13:50:24,328 ms,290 ms,367 ms
2022-04-19 13:50:26,327 ms,279 ms,375 ms
2022-04-19 13:50:28,287 ms,262 ms,312 ms
2022-04-19 13:50:30,260 ms,249 ms,271 ms
2022-04-19 13:50:32,260 ms,247 ms,273 ms
2022-04-19 13:50:34,258 ms,238 ms,279 ms
2022-04-19 13:50:36,265 ms,250 ms,280 ms
2022-04-19 13:50:38,258 ms,268 ms,248 ms
2022-04-19 13:50:40,259 ms,276 ms,242 ms
2022-04-19 13:50:42,273 ms,303 ms,242 ms
2022-04-19 13:50:44,266 ms,290 ms,242 ms
2022-04-19 13:50:46,262 ms,271 ms,253 ms
2022-04-19 13:50:48,264 ms,266 ms,262 ms
2022-04-19 13:50:50,264 ms,261 ms,267 ms
2022-04-19 13:50:52,259 ms,247 ms,270 ms
2022-04-19 13:50:54,258 ms,248 ms,268 ms
2022-04-19 13:50:56,260 ms,252 ms,267 ms
2022-04-19 13:50:58,262 ms,254 ms,271 ms
2022-04-19 13:51:00,271 ms,276 ms,266 ms
2022-04-19 13:51:02,269 ms,271 ms,267 ms
2022-04-19 13:51:04,269 ms,268 ms,269 ms
2022-04-19 13:51:06,269 ms,264 ms,273 ms
2022-04-19 13:51:08,270 ms,250 ms,290 ms
2022-04-19 13:51:10,295 ms,262 ms,329 ms
2022-04-19 13:51:12,347 ms,362 ms,333 ms
2022-04-19 13:51:14,329 ms,348 ms,311 ms
2022-04-19 13:51:16,327 ms,339 ms,316 ms
2022-04-19 13:51:18,303 ms,355 ms,252 ms
2022-04-19 13:51:20,263 ms,280 ms,246 ms
2022-04-19 13:51:22,263 ms,276 ms,250 ms
2022-04-19 13:51:24,261 ms,273 ms,248 ms
2022-04-19 13:51:26,254 ms,258 ms,251 ms
2022-04-19 13:51:28,383 ms,491 ms,275 ms
2022-04-19 13:51:30,380 ms,469 ms,290 ms
2022-04-19 13:51:32,407 ms,523 ms,290 ms
2022-04-19 13:51:34,376 ms,449 ms,303 ms
2022-04-19 13:51:36,350 ms,413 ms,287 ms
2022-04-19 13:51:38,265 ms,244 ms,286 ms
2022-04-19 13:51:40,269 ms,247 ms,290 ms
2022-04-19 13:51:42,279 ms,249 ms,308 ms
2022-04-19 13:51:44,283 ms,261 ms,305 ms
2022-04-19 13:51:46,289 ms,266 ms,311 ms
2022-04-19 13:51:48,286 ms,257 ms,315 ms
2022-04-19 13:51:50,284 ms,258 ms,311 ms
2022-04-19 13:51:52,280 ms,257 ms,303 ms
2022-04-19 13:51:54,266 ms,258 ms,274 ms
2022-04-19 13:51:56,288 ms,262 ms,315 ms
2022-04-19 13:51:58,291 ms,271 ms,310 ms
2022-04-19 13:52:00,310 ms,315 ms,304 ms
2022-04-19 13:52:02,312 ms,308 ms,317 ms
2022-04-19 13:52:04,305 ms,307 ms,303 ms
2022-04-19 13:52:06,287 ms,305 ms,269 ms
2022-04-19 13:52:08,258 ms,256 ms,261 ms
2022-04-19 13:52:10,255 ms,264 ms,246 ms
2022-04-19 13:52:12,251 ms,261 ms,241 ms
2022-04-19 13:52:14,255 ms,256 ms,255 ms
2022-04-19 13:52:16,262 ms,261 ms,263 ms
2022-04-19 13:52:18,277 ms,263 ms,291 ms
2022-04-19 13:52:20,292 ms,263 ms,321 ms
2022-04-19 13:52:22,376 ms,425 ms,327 ms
2022-04-19 13:52:24,393 ms,435 ms,351 ms
2022-04-19 13:52:26,388 ms,431 ms,346 ms
2022-04-19 13:52:28,365 ms,443 ms,288 ms
2022-04-19 13:52:30,281 ms,301 ms,261 ms
2022-04-19 13:52:32,278 ms,294 ms,262 ms
2022-04-19 13:52:34,283 ms,304 ms,262 ms
2022-04-19 13:52:36,274 ms,297 ms,251 ms
2022-04-19 13:52:38,270 ms,288 ms,253 ms
2022-04-19 13:52:40,262 ms,285 ms,239 ms
2022-04-19 13:52:42,267 ms,294 ms,239 ms
2022-04-19 13:52:44,247 ms,268 ms,227 ms
2022-04-19 13:52:46,256 ms,266 ms,246 ms
2022-04-19 13:52:48,269 ms,283 ms,255 ms
2022-04-19 13:52:50,272 ms,292 ms,251 ms
2022-04-19 13:52:52,280 ms,304 ms,257 ms
2022-04-19 13:52:54,289 ms,331 ms,246 ms
2022-04-19 13:52:56,284 ms,328 ms,240 ms
2022-04-19 13:52:58,275 ms,313 ms,236 ms
2022-04-19 13:53:00,292 ms,331 ms,253 ms
2022-04-19 13:53:02,272 ms,274 ms,270 ms
2022-04-19 13:53:04,272 ms,278 ms,266 ms
2022-04-19 13:53:06,267 ms,269 ms,266 ms

