"Time","Average Request Rate","edge-server-cv-78d887c496-jfgxb Requests/2s","edge-server-cv-78d887c496-qwz6r Requests/2s","avg_requests/30"
2022-04-19 13:43:16,0.500,0,1,3.10
2022-04-19 13:43:18,1,1,1,3.17
2022-04-19 13:43:20,2,2,2,3.24
2022-04-19 13:43:22,3.50,4,3,3.48
2022-04-19 13:43:24,2.50,0,5,3.41
2022-04-19 13:43:26,2,1,3,3.45
2022-04-19 13:43:28,1.50,2,1,3.34
2022-04-19 13:43:30,1.50,2,1,3.41
2022-04-19 13:43:32,2.00,2,2.01,3.31
2022-04-19 13:43:34,2.50,2,3,3.38
2022-04-19 13:43:36,1,0,2,3.34
2022-04-19 13:43:38,2,3,1,3.45
2022-04-19 13:43:40,1,1,1,3.31
2022-04-19 13:43:42,1.50,0,3,3.28
2022-04-19 13:43:44,1,1,1,3.17
2022-04-19 13:43:46,0.500,0,1,3.14
2022-04-19 13:43:48,1,2,0,3.03
2022-04-19 13:43:50,2,3,1,2.90
2022-04-19 13:43:52,0.500,1,0,2.79
2022-04-19 13:43:54,2,2,2,2.76
2022-04-19 13:43:56,1,2,0,2.83
2022-04-19 13:43:58,1.50,2,1,2.79
2022-04-19 13:44:00,2.50,3,2,2.93
2022-04-19 13:44:02,2.51,4.01,1,2.90
2022-04-19 13:44:04,2,3,1,2.90
2022-04-19 13:44:06,0.500,0,1,2.62
2022-04-19 13:44:08,1.50,1,2,2.62
2022-04-19 13:44:10,1,1,1,2.76
2022-04-19 13:44:12,3,4,2,2.90
2022-04-19 13:44:14,1.50,1,2,3
2022-04-19 13:44:16,3.50,4,3,3.28
2022-04-19 13:44:18,2,2,2,3.38
2022-04-19 13:44:20,1,1,1,3.28
2022-04-19 13:44:22,1.50,1,2,3.45
2022-04-19 13:44:24,3,3,3,3.48
2022-04-19 13:44:26,0.500,1,0,3.45
2022-04-19 13:44:28,0.500,0,1,3.45
2022-04-19 13:44:30,3,1,5,3.48
2022-04-19 13:44:32,1,1,1,3.55
2022-04-19 13:44:34,3,6,0,3.69
2022-04-19 13:44:36,1,1,1,3.76
2022-04-19 13:44:38,1.50,2,1,3.66
2022-04-19 13:44:40,1,1,1,3.69
2022-04-19 13:44:42,1,0,2,3.55
2022-04-19 13:44:44,1.50,1,2,3.48
2022-04-19 13:44:46,0.500,1,0,3.38
2022-04-19 13:44:48,2,2,2,3.48
2022-04-19 13:44:50,0,0,0,3.31
2022-04-19 13:44:52,0.505,1.01,0,3.24
2022-04-19 13:44:54,1,0,2,3.03
2022-04-19 13:44:56,1,2,0,3.03
2022-04-19 13:44:58,2,2,2,3.24
2022-04-19 13:45:00,0.500,1,0,2.90
2022-04-19 13:45:02,1.50,2,1,2.90
2022-04-19 13:45:04,1,0,2,2.72
2022-04-19 13:45:06,0,0,0,2.59
2022-04-19 13:45:08,1,2,0,2.45
2022-04-19 13:45:10,2.50,3,2,2.55
2022-04-19 13:45:12,3,4,2,2.72
2022-04-19 13:45:14,1,2,0,2.55
2022-04-19 13:45:16,1,1,1,2.52
2022-04-19 13:45:18,0.500,1,0,2.41
2022-04-19 13:45:20,0.500,1,0,2.35
2022-04-19 13:45:22,3,2,4,2.55
2022-04-19 13:45:24,1.50,1,2,2.55
2022-04-19 13:45:26,0.500,0,1,2.48
2022-04-19 13:45:28,0.500,0,1,2.31
2022-04-19 13:45:30,1.50,1,2,2.38
2022-04-19 13:45:32,1.50,1,2,2.38
2022-04-19 13:45:34,0.500,1,0,2.41
2022-04-19 13:45:36,2.50,2,3,2.59
2022-04-19 13:45:38,2,1,3,2.55
2022-04-19 13:45:40,3,4,2,2.52
2022-04-19 13:45:42,1.50,2,1,2.38
2022-04-19 13:45:44,2,1,3,2.41
2022-04-19 13:45:46,0.500,1,0,2.45
2022-04-19 13:45:48,1,0,2,2.48
2022-04-19 13:45:50,1,1,1,2.59
2022-04-19 13:45:52,1.50,2,1,2.52
2022-04-19 13:45:54,1.50,1,2,2.62
2022-04-19 13:45:56,2.50,3,2,2.83
2022-04-19 13:45:58,1,0,2,2.93
2022-04-19 13:46:00,3,4,2,3.10
2022-04-19 13:46:02,3,2,4,3.24
2022-04-19 13:46:04,1,2,0,3.38
2022-04-19 13:46:06,1,1,1,3.28
2022-04-19 13:46:08,0.999,1,0.998,3.31
2022-04-19 13:46:10,2,4,0,3.28
2022-04-19 13:46:12,2,3,1,3.24
2022-04-19 13:46:14,0.500,1,0,3.10
2022-04-19 13:46:16,1,1,1,3.21
2022-04-19 13:46:18,2,2,2,3.28
2022-04-19 13:46:20,2,1,3,3.28
2022-04-19 13:46:22,0.500,1,0,3.10
2022-04-19 13:46:24,1.51,2,1.01,3.14
2022-04-19 13:46:26,1,0,2,3
2022-04-19 13:46:28,0.500,0,1,3.07
2022-04-19 13:46:30,1,2,0,2.86
2022-04-19 13:46:32,1.00,1,1.00,2.66
2022-04-19 13:46:34,2,1,3,2.79
2022-04-19 13:46:36,1,0,2,2.83
2022-04-19 13:46:38,3,4,2,3.03
2022-04-19 13:46:40,2,1,3,3.14
2022-04-19 13:46:42,0.500,1,0,3
2022-04-19 13:46:44,1,1,1,3
2022-04-19 13:46:46,0,0,0,2.97
2022-04-19 13:46:48,0,0,0,2.83
2022-04-19 13:46:50,1.50,3,0,2.90
2022-04-19 13:46:52,1.50,3,0,2.90
2022-04-19 13:46:54,0,0,0,2.79
2022-04-19 13:46:56,1.50,1,2,2.66
2022-04-19 13:46:58,0.500,1,0,2.62
2022-04-19 13:47:00,0.500,0,1,2.52
2022-04-19 13:47:02,1.50,1,2,2.52
2022-04-19 13:47:04,2,1,3,2.45
2022-04-19 13:47:06,2.50,4,1,2.41
2022-04-19 13:47:08,2,2,2,2.45
2022-04-19 13:47:10,1.50,3,0,2.38
2022-04-19 13:47:12,1,1,1,2.38
2022-04-19 13:47:14,1.50,1,2,2.31
2022-04-19 13:47:16,3,3,3,2.66
2022-04-19 13:47:18,0.500,0,1,2.59
2022-04-19 13:47:20,1.50,0,3,2.72
2022-04-19 13:47:22,3.50,5,2,2.79
2022-04-19 13:47:24,1.50,2,1,2.86
2022-04-19 13:47:26,2,3,1,2.93
2022-04-19 13:47:28,1,1,1,3.10
2022-04-19 13:47:30,1,0,2,3.10
2022-04-19 13:47:32,0.500,0,1,2.97
2022-04-19 13:47:34,1.49,2.99,0,3.03
2022-04-19 13:47:36,0.500,1,0,2.83
2022-04-19 13:47:38,2,3,1,2.86
2022-04-19 13:47:40,2,1,3,2.93
2022-04-19 13:47:42,0.500,1,0,2.97
2022-04-19 13:47:44,1,1,1,2.79
2022-04-19 13:47:46,0.500,0,1,2.52
2022-04-19 13:47:48,1.50,3,0,2.48
2022-04-19 13:47:50,1.50,2,1,2.72
2022-04-19 13:47:52,3.01,3.02,3,2.69
2022-04-19 13:47:54,2,2,2,2.83
2022-04-19 13:47:56,2,3,1,2.66
2022-04-19 13:47:58,2.00,2,1.99,2.86
2022-04-19 13:48:00,2,1,3,3.07
2022-04-19 13:48:02,1.50,2,1,3.17
2022-04-19 13:48:04,2,3,1,3.10
2022-04-19 13:48:06,0.500,0,1,3.14
2022-04-19 13:48:08,2,2,2,3.21
2022-04-19 13:48:10,0.500,0,1,3.03
2022-04-19 13:48:12,0.500,1,0,3.10
2022-04-19 13:48:14,3,2,4,3.34
2022-04-19 13:48:16,2.50,4,1.00,3.45
2022-04-19 13:48:18,0.500,0,1,3.21
2022-04-19 13:48:20,0.500,1,0,3.17
2022-04-19 13:48:22,3.50,1.99,5,3.14
2022-04-19 13:48:24,1.50,2,1,3.17
2022-04-19 13:48:26,1,2,0,3
2022-04-19 13:48:28,2.50,3,1.99,2.86
2022-04-19 13:48:30,1.50,3,0,2.76
2022-04-19 13:48:32,0.500,0,1,2.62
2022-04-19 13:48:34,1.50,0,3,2.52
2022-04-19 13:48:36,1,1,1,2.59
2022-04-19 13:48:38,1.50,2,1,2.48
2022-04-19 13:48:40,1,0,2,2.45
2022-04-19 13:48:42,0.500,1,0,2.41
2022-04-19 13:48:44,1,1,1,2.41
2022-04-19 13:48:46,2.50,4,1,2.38
2022-04-19 13:48:48,2.50,3,2,2.52
2022-04-19 13:48:50,2.50,2,3,2.69
2022-04-19 13:48:52,1.50,2,1,2.66
2022-04-19 13:48:54,1.50,0,3,2.69
2022-04-19 13:48:56,1,1,1,2.83
2022-04-19 13:48:58,1,1,1,2.83
2022-04-19 13:49:00,1.50,1,2,2.83
2022-04-19 13:49:02,1,1,1,2.90
2022-04-19 13:49:04,2,2,2,2.93
2022-04-19 13:49:06,2.50,3,2,3.14
2022-04-19 13:49:08,1,1,1,3.14
2022-04-19 13:49:10,0.500,0,1,3.07
2022-04-19 13:49:12,0,0,0,3.03
2022-04-19 13:49:14,1.50,2,1,3.14
2022-04-19 13:49:16,2,3,1,3.03
2022-04-19 13:49:18,1,0,2,2.93
2022-04-19 13:49:20,3,4,2,2.83
2022-04-19 13:49:22,2,2,2,2.86
2022-04-19 13:49:24,2.50,2,3,2.97
2022-04-19 13:49:26,1.50,2,1,2.97
2022-04-19 13:49:28,1,1,1,3
2022-04-19 13:49:30,1.50,2,1,3.03
2022-04-19 13:49:32,1.50,1,2,2.97
2022-04-19 13:49:34,1,1,1,2.86
2022-04-19 13:49:36,2,1,3,2.79
2022-04-19 13:49:38,1,1,1,2.79
2022-04-19 13:49:40,0.500,0,1,2.69
2022-04-19 13:49:42,0.500,1,0,2.86
2022-04-19 13:49:44,1.50,1,2,2.93
2022-04-19 13:49:46,1,1,1,2.83
2022-04-19 13:49:48,2,3,1,2.90
2022-04-19 13:49:50,2.50,3,2,2.79
2022-04-19 13:49:52,3.50,6,1,2.79
2022-04-19 13:49:54,0.500,1,0,2.52
2022-04-19 13:49:56,0.500,0,1,2.41
2022-04-19 13:49:58,2,2,2,2.45
2022-04-19 13:50:00,1,1,1,2.34
2022-04-19 13:50:02,2.50,3,2,2.45
2022-04-19 13:50:04,1.50,3,0,2.55
2022-04-19 13:50:06,3.50,3,4,2.69
2022-04-19 13:50:08,1,0,2,2.76
2022-04-19 13:50:10,2.50,4,1,2.66
2022-04-19 13:50:12,1.50,2,1,2.79
2022-04-19 13:50:14,1.50,1,2,2.79
2022-04-19 13:50:16,1.50,1,2,2.90
2022-04-19 13:50:18,3,5,1,2.93
2022-04-19 13:50:20,3,4,2,3.07
2022-04-19 13:50:22,2,2,2,3.14
2022-04-19 13:50:24,2,1,3,3.34
2022-04-19 13:50:26,3,5,1,3.45
2022-04-19 13:50:28,1,0,2,3.45
2022-04-19 13:50:30,1.50,1,2,3.52
2022-04-19 13:50:32,1,0,2,3.38
2022-04-19 13:50:34,1.50,1,2,3.34
2022-04-19 13:50:36,1,0,2,3.03
2022-04-19 13:50:38,1,0,2,3.14
2022-04-19 13:50:40,0.500,1,0,2.90
2022-04-19 13:50:42,2.50,3,2,3.03
2022-04-19 13:50:44,0.500,1,0,2.90
2022-04-19 13:50:46,1.50,0,3,3.07
2022-04-19 13:50:48,2.50,3,2,2.90
2022-04-19 13:50:50,2.99,2,3.99,2.83
2022-04-19 13:50:52,2,2,2,2.76
2022-04-19 13:50:54,0.491,0,0.981,2.72
2022-04-19 13:50:56,1,0,2,2.62
2022-04-19 13:50:58,0.500,1,0,2.48
2022-04-19 13:51:00,1.50,2,1,2.41
2022-04-19 13:51:02,1.50,2,1,2.52
2022-04-19 13:51:04,1,1,1,2.52
2022-04-19 13:51:06,1.50,1,2,2.41
2022-04-19 13:51:08,2.50,3,2,2.59
2022-04-19 13:51:10,1,1,1,2.62
2022-04-19 13:51:12,1.01,2.01,0,2.66
2022-04-19 13:51:14,2,1,3,2.76
2022-04-19 13:51:16,2.50,2,3,2.83
2022-04-19 13:51:18,1,2,0,2.76
2022-04-19 13:51:20,2.50,1,4,2.72
2022-04-19 13:51:22,2.50,1,4,2.79
2022-04-19 13:51:24,1,0,2,2.79
2022-04-19 13:51:26,0,0,0,2.72
2022-04-19 13:51:28,3,6,0,2.93
2022-04-19 13:51:30,0.500,1,0,2.90
2022-04-19 13:51:32,1,0,2,2.90
2022-04-19 13:51:34,3,2,4,3.21
2022-04-19 13:51:36,1.50,2,1,3.21
2022-04-19 13:51:38,1,2,0,3.07
2022-04-19 13:51:40,0,0,0,2.97
2022-04-19 13:51:42,0.500,1,0,2.79
2022-04-19 13:51:44,1.50,1,2,2.83
2022-04-19 13:51:46,0.500,1,0,2.55
2022-04-19 13:51:48,0.500,1,0,2.66
2022-04-19 13:51:50,1.50,2,1,2.59
2022-04-19 13:51:52,3,1,5,2.55
2022-04-19 13:51:54,3,3,3,2.72
2022-04-19 13:51:56,2,1,3,2.97
2022-04-19 13:51:58,1,2,0,2.79
2022-04-19 13:52:00,0,0,0,3
2022-04-19 13:52:02,0.497,0,0.993,2.93
2022-04-19 13:52:04,3,4,2,2.93
2022-04-19 13:52:06,1,2,0,2.79
2022-04-19 13:52:08,1.50,0,3,2.79
2022-04-19 13:52:10,4.04,4,4.07,3.14
2022-04-19 13:52:12,2,2,2,3.14
2022-04-19 13:52:14,1,1,1,3.24
2022-04-19 13:52:16,2,2,2,3.34
2022-04-19 13:52:18,2,1,3,3.41
2022-04-19 13:52:20,1,2,0,3.55
2022-04-19 13:52:22,1,1,1,3.59
2022-04-19 13:52:24,0.500,1,0,3.24
2022-04-19 13:52:26,4.50,4,5,3.38
2022-04-19 13:52:28,2,4,0,3.21
2022-04-19 13:52:30,2,1,3,3.28
2022-04-19 13:52:32,0.500,1,0,3.28
2022-04-19 13:52:34,0,0,0,3.07
2022-04-19 13:52:36,0.500,1,0,3.14
2022-04-19 13:52:38,0.500,0,1,3.10
2022-04-19 13:52:40,2,1,3,3.03
2022-04-19 13:52:42,0,0,0,2.76
2022-04-19 13:52:44,2,2,2,2.72
2022-04-19 13:52:46,0.999,1,0.997,2.72
2022-04-19 13:52:48,2,2,2,2.69
2022-04-19 13:52:50,3,3,3,2.69
2022-04-19 13:52:52,2.50,3,2,2.86
2022-04-19 13:52:54,1,1,1,2.93
2022-04-19 13:52:56,1,1,1,2.72
2022-04-19 13:52:58,0.500,1,0,2.69
2022-04-19 13:53:00,1,1,1,2.59
2022-04-19 13:53:02,2,1,3,2.76
2022-04-19 13:53:04,0.500,0,1,2.66
2022-04-19 13:53:06,0,0,0,2.48

