"Time","Average Response Rate","edge-server-cv-74d975f7cd-bbbwx Response","edge-server-cv-74d975f7cd-gw56j Response","edge-server-cv-74d975f7cd-z798l Response"
2022-04-19 16:15:20,353 ms,270 ms,268 ms,523 ms
2022-04-19 16:15:22,398 ms,347 ms,271 ms,576 ms
2022-04-19 16:15:24,434 ms,457 ms,273 ms,572 ms
2022-04-19 16:15:26,318 ms,416 ms,272 ms,266 ms
2022-04-19 16:15:28,301 ms,386 ms,251 ms,266 ms
2022-04-19 16:15:30,274 ms,322 ms,240 ms,260 ms
2022-04-19 16:15:32,255 ms,234 ms,234 ms,297 ms
2022-04-19 16:15:34,254 ms,234 ms,232 ms,297 ms
2022-04-19 16:15:36,299 ms,357 ms,251 ms,289 ms
2022-04-19 16:15:38,292 ms,350 ms,251 ms,275 ms
2022-04-19 16:15:40,307 ms,378 ms,262 ms,281 ms
2022-04-19 16:15:42,349 ms,378 ms,272 ms,398 ms
2022-04-19 16:15:44,342 ms,378 ms,272 ms,376 ms
2022-04-19 16:15:46,316 ms,268 ms,268 ms,412 ms
2022-04-19 16:15:48,321 ms,278 ms,271 ms,413 ms
2022-04-19 16:15:50,309 ms,280 ms,232 ms,413 ms
2022-04-19 16:15:52,265 ms,280 ms,232 ms,282 ms
2022-04-19 16:15:54,267 ms,295 ms,224 ms,284 ms
2022-04-19 16:15:56,269 ms,298 ms,231 ms,280 ms
2022-04-19 16:15:58,341 ms,500 ms,243 ms,280 ms
2022-04-19 16:16:00,,449 ms,371 ms,
2022-04-19 16:16:02,,424 ms,656 ms,
2022-04-19 16:16:04,500 ms,448 ms,788 ms,265 ms
2022-04-19 16:16:06,445 ms,272 ms,777 ms,287 ms
2022-04-19 16:16:08,467 ms,338 ms,777 ms,287 ms
2022-04-19 16:16:10,284 ms,331 ms,235 ms,287 ms
2022-04-19 16:16:12,285 ms,331 ms,242 ms,283 ms
2022-04-19 16:16:14,288 ms,310 ms,259 ms,295 ms
2022-04-19 16:16:16,280 ms,299 ms,271 ms,271 ms
2022-04-19 16:16:18,267 ms,260 ms,271 ms,271 ms
2022-04-19 16:16:20,535 ms,260 ms,293 ms,1.05 s
2022-04-19 16:16:22,501 ms,324 ms,372 ms,808 ms
2022-04-19 16:16:24,479 ms,356 ms,343 ms,738 ms
2022-04-19 16:16:26,484 ms,423 ms,343 ms,687 ms
2022-04-19 16:16:28,429 ms,403 ms,392 ms,492 ms
2022-04-19 16:16:30,325 ms,409 ms,307 ms,258 ms
2022-04-19 16:16:32,352 ms,387 ms,384 ms,284 ms
2022-04-19 16:16:34,346 ms,364 ms,384 ms,289 ms
2022-04-19 16:16:36,307 ms,292 ms,339 ms,291 ms
2022-04-19 16:16:38,296 ms,263 ms,339 ms,286 ms
2022-04-19 16:16:40,314 ms,245 ms,407 ms,289 ms
2022-04-19 16:16:42,361 ms,284 ms,407 ms,392 ms
2022-04-19 16:16:44,499 ms,288 ms,434 ms,774 ms
2022-04-19 16:16:46,485 ms,308 ms,375 ms,773 ms
2022-04-19 16:16:48,485 ms,308 ms,375 ms,773 ms
2022-04-19 16:16:50,419 ms,234 ms,236 ms,787 ms
2022-04-19 16:16:52,,,236 ms,273 ms
2022-04-19 16:16:54,,,,286 ms
2022-04-19 16:16:56,267 ms,267 ms,248 ms,286 ms
2022-04-19 16:16:58,273 ms,272 ms,264 ms,283 ms
2022-04-19 16:17:00,267 ms,268 ms,264 ms,268 ms
2022-04-19 16:17:02,309 ms,390 ms,276 ms,260 ms
2022-04-19 16:17:04,346 ms,390 ms,270 ms,377 ms
2022-04-19 16:17:06,353 ms,423 ms,276 ms,360 ms
2022-04-19 16:17:08,363 ms,439 ms,276 ms,374 ms
2022-04-19 16:17:10,430 ms,507 ms,349 ms,435 ms
2022-04-19 16:17:12,357 ms,379 ms,415 ms,279 ms
2022-04-19 16:17:14,318 ms,263 ms,415 ms,275 ms
2022-04-19 16:17:16,324 ms,263 ms,433 ms,275 ms
2022-04-19 16:17:18,313 ms,263 ms,402 ms,275 ms
2022-04-19 16:17:20,,,412 ms,273 ms
2022-04-19 16:17:22,323 ms,255 ms,397 ms,316 ms
2022-04-19 16:17:24,301 ms,255 ms,332 ms,316 ms
2022-04-19 16:17:26,302 ms,259 ms,332 ms,316 ms
2022-04-19 16:17:28,301 ms,259 ms,324 ms,319 ms
2022-04-19 16:17:30,308 ms,248 ms,339 ms,338 ms
2022-04-19 16:17:32,325 ms,235 ms,407 ms,333 ms
2022-04-19 16:17:34,312 ms,217 ms,375 ms,345 ms
2022-04-19 16:17:36,291 ms,217 ms,264 ms,393 ms
2022-04-19 16:17:38,298 ms,217 ms,281 ms,395 ms
2022-04-19 16:17:40,324 ms,239 ms,296 ms,436 ms
2022-04-19 16:17:42,328 ms,252 ms,296 ms,436 ms
2022-04-19 16:17:44,290 ms,256 ms,311 ms,302 ms
2022-04-19 16:17:46,289 ms,254 ms,311 ms,302 ms
2022-04-19 16:17:48,,326 ms,,299 ms
2022-04-19 16:17:50,428 ms,347 ms,648 ms,290 ms
2022-04-19 16:17:52,424 ms,347 ms,648 ms,276 ms
2022-04-19 16:17:54,394 ms,415 ms,499 ms,268 ms
2022-04-19 16:17:56,368 ms,380 ms,461 ms,262 ms
2022-04-19 16:17:58,272 ms,260 ms,261 ms,297 ms
2022-04-19 16:18:00,275 ms,268 ms,265 ms,292 ms
2022-04-19 16:18:02,315 ms,256 ms,394 ms,295 ms
2022-04-19 16:18:04,367 ms,260 ms,524 ms,316 ms
2022-04-19 16:18:06,361 ms,285 ms,537 ms,262 ms
2022-04-19 16:18:08,363 ms,285 ms,537 ms,266 ms
2022-04-19 16:18:10,378 ms,313 ms,537 ms,284 ms
2022-04-19 16:18:12,314 ms,325 ms,332 ms,284 ms
2022-04-19 16:18:14,302 ms,315 ms,315 ms,276 ms
2022-04-19 16:18:16,294 ms,264 ms,351 ms,266 ms
2022-04-19 16:18:18,291 ms,256 ms,351 ms,266 ms
2022-04-19 16:18:20,285 ms,250 ms,335 ms,270 ms
2022-04-19 16:18:22,287 ms,250 ms,350 ms,261 ms
2022-04-19 16:18:24,296 ms,259 ms,371 ms,257 ms
2022-04-19 16:18:26,287 ms,265 ms,326 ms,271 ms
2022-04-19 16:18:28,325 ms,338 ms,367 ms,269 ms
2022-04-19 16:18:30,348 ms,390 ms,363 ms,292 ms
2022-04-19 16:18:32,337 ms,387 ms,353 ms,272 ms
2022-04-19 16:18:34,328 ms,417 ms,292 ms,275 ms
2022-04-19 16:18:36,465 ms,417 ms,716 ms,263 ms
2022-04-19 16:18:38,493 ms,443 ms,767 ms,269 ms
2022-04-19 16:18:40,483 ms,404 ms,765 ms,281 ms
2022-04-19 16:18:42,528 ms,639 ms,666 ms,280 ms
2022-04-19 16:18:44,508 ms,629 ms,619 ms,277 ms
2022-04-19 16:18:46,350 ms,501 ms,253 ms,296 ms
2022-04-19 16:18:48,319 ms,436 ms,244 ms,277 ms
2022-04-19 16:18:50,309 ms,431 ms,218 ms,277 ms
2022-04-19 16:18:52,341 ms,298 ms,226 ms,500 ms
2022-04-19 16:18:54,374 ms,300 ms,226 ms,598 ms
2022-04-19 16:18:56,361 ms,287 ms,240 ms,556 ms
2022-04-19 16:18:58,359 ms,288 ms,240 ms,550 ms
2022-04-19 16:19:00,214 ms,269 ms,196 ms,178 ms
2022-04-19 16:19:02,,274 ms,,178 ms
2022-04-19 16:19:04,501 ms,272 ms,711 ms,520 ms
2022-04-19 16:19:06,587 ms,572 ms,530 ms,659 ms
2022-04-19 16:19:08,553 ms,515 ms,484 ms,659 ms
2022-04-19 16:19:10,552 ms,662 ms,437 ms,558 ms
2022-04-19 16:19:12,396 ms,662 ms,272 ms,253 ms
2022-04-19 16:19:14,403 ms,662 ms,280 ms,268 ms
2022-04-19 16:19:16,356 ms,341 ms,281 ms,446 ms
2022-04-19 16:19:18,401 ms,331 ms,414 ms,459 ms
2022-04-19 16:19:20,391 ms,331 ms,465 ms,376 ms
2022-04-19 16:19:22,375 ms,306 ms,460 ms,361 ms
2022-04-19 16:19:24,343 ms,301 ms,454 ms,273 ms
2022-04-19 16:19:26,296 ms,267 ms,314 ms,306 ms
2022-04-19 16:19:28,366 ms,267 ms,314 ms,518 ms
2022-04-19 16:19:30,344 ms,280 ms,252 ms,500 ms
2022-04-19 16:19:32,424 ms,421 ms,312 ms,540 ms
2022-04-19 16:19:34,421 ms,377 ms,382 ms,504 ms
2022-04-19 16:19:36,351 ms,377 ms,343 ms,333 ms
2022-04-19 16:19:38,357 ms,407 ms,333 ms,329 ms
2022-04-19 16:19:40,362 ms,407 ms,333 ms,345 ms
2022-04-19 16:19:42,255 ms,183 ms,256 ms,326 ms
2022-04-19 16:19:44,,,256 ms,426 ms
2022-04-19 16:19:46,,,257 ms,471 ms
2022-04-19 16:19:48,,,525 ms,615 ms
2022-04-19 16:19:50,477 ms,280 ms,486 ms,665 ms
2022-04-19 16:19:52,487 ms,280 ms,436 ms,746 ms
2022-04-19 16:19:54,452 ms,280 ms,448 ms,629 ms
2022-04-19 16:19:56,436 ms,280 ms,461 ms,568 ms
2022-04-19 16:19:58,336 ms,282 ms,316 ms,411 ms
2022-04-19 16:20:00,430 ms,692 ms,315 ms,284 ms
2022-04-19 16:20:02,399 ms,582 ms,335 ms,279 ms
2022-04-19 16:20:04,428 ms,582 ms,341 ms,362 ms
2022-04-19 16:20:06,354 ms,438 ms,270 ms,353 ms
2022-04-19 16:20:08,341 ms,394 ms,270 ms,360 ms
2022-04-19 16:20:10,301 ms,255 ms,275 ms,374 ms
2022-04-19 16:20:12,306 ms,253 ms,250 ms,414 ms
2022-04-19 16:20:14,260 ms,238 ms,228 ms,312 ms
2022-04-19 16:20:16,265 ms,245 ms,237 ms,312 ms
2022-04-19 16:20:18,277 ms,247 ms,232 ms,351 ms
2022-04-19 16:20:20,247 ms,251 ms,244 ms,246 ms
2022-04-19 16:20:22,259 ms,251 ms,281 ms,246 ms
2022-04-19 16:20:24,,251 ms,281 ms,
2022-04-19 16:20:26,,249 ms,301 ms,
2022-04-19 16:20:28,285 ms,288 ms,301 ms,265 ms
2022-04-19 16:20:30,294 ms,318 ms,305 ms,259 ms
2022-04-19 16:20:32,308 ms,344 ms,310 ms,270 ms
2022-04-19 16:20:34,337 ms,441 ms,301 ms,270 ms
2022-04-19 16:20:36,300 ms,355 ms,275 ms,270 ms
2022-04-19 16:20:38,299 ms,355 ms,274 ms,269 ms
2022-04-19 16:20:40,,,263 ms,261 ms
2022-04-19 16:20:42,,,261 ms,407 ms
2022-04-19 16:20:44,,,266 ms,372 ms
2022-04-19 16:20:46,,,481 ms,342 ms
2022-04-19 16:20:48,377 ms,293 ms,481 ms,358 ms
2022-04-19 16:20:50,372 ms,275 ms,481 ms,358 ms
2022-04-19 16:20:52,415 ms,283 ms,622 ms,339 ms
2022-04-19 16:20:54,384 ms,283 ms,460 ms,407 ms
2022-04-19 16:20:56,371 ms,283 ms,420 ms,409 ms
2022-04-19 16:20:58,360 ms,289 ms,384 ms,409 ms
2022-04-19 16:21:00,338 ms,337 ms,384 ms,292 ms
2022-04-19 16:21:02,293 ms,317 ms,270 ms,292 ms
2022-04-19 16:21:04,,317 ms,241 ms,
2022-04-19 16:21:06,345 ms,450 ms,275 ms,311 ms
2022-04-19 16:21:08,378 ms,549 ms,275 ms,311 ms
2022-04-19 16:21:10,418 ms,671 ms,271 ms,311 ms
2022-04-19 16:21:12,411 ms,671 ms,271 ms,291 ms
2022-04-19 16:21:14,454 ms,683 ms,388 ms,291 ms
2022-04-19 16:21:16,340 ms,255 ms,445 ms,320 ms
2022-04-19 16:21:18,388 ms,380 ms,479 ms,306 ms
2022-04-19 16:21:20,381 ms,349 ms,474 ms,319 ms
2022-04-19 16:21:22,356 ms,349 ms,423 ms,295 ms
2022-04-19 16:21:24,320 ms,384 ms,332 ms,243 ms
2022-04-19 16:21:26,321 ms,443 ms,259 ms,260 ms
2022-04-19 16:21:28,265 ms,257 ms,282 ms,257 ms
2022-04-19 16:21:30,,,360 ms,258 ms
2022-04-19 16:21:32,332 ms,259 ms,375 ms,361 ms
2022-04-19 16:21:34,380 ms,388 ms,406 ms,347 ms
2022-04-19 16:21:36,392 ms,355 ms,483 ms,339 ms
2022-04-19 16:21:38,363 ms,333 ms,416 ms,339 ms
2022-04-19 16:21:40,350 ms,332 ms,431 ms,285 ms
2022-04-19 16:21:42,328 ms,300 ms,394 ms,291 ms
2022-04-19 16:21:44,328 ms,295 ms,394 ms,296 ms
2022-04-19 16:21:46,378 ms,369 ms,394 ms,370 ms
2022-04-19 16:21:48,391 ms,376 ms,422 ms,375 ms
2022-04-19 16:21:50,344 ms,367 ms,273 ms,392 ms
2022-04-19 16:21:52,357 ms,389 ms,286 ms,396 ms
2022-04-19 16:21:54,362 ms,414 ms,274 ms,399 ms
2022-04-19 16:21:56,355 ms,376 ms,280 ms,410 ms
2022-04-19 16:21:58,341 ms,390 ms,274 ms,359 ms
2022-04-19 16:22:00,372 ms,477 ms,267 ms,373 ms
2022-04-19 16:22:02,373 ms,555 ms,269 ms,294 ms
2022-04-19 16:22:04,337 ms,462 ms,253 ms,294 ms
2022-04-19 16:22:06,326 ms,408 ms,277 ms,291 ms
2022-04-19 16:22:08,317 ms,408 ms,268 ms,275 ms
2022-04-19 16:22:10,268 ms,262 ms,268 ms,274 ms
2022-04-19 16:22:12,272 ms,262 ms,274 ms,280 ms
2022-04-19 16:22:14,278 ms,269 ms,280 ms,284 ms
2022-04-19 16:22:16,291 ms,318 ms,270 ms,286 ms
2022-04-19 16:22:18,291 ms,318 ms,277 ms,279 ms
2022-04-19 16:22:20,368 ms,377 ms,277 ms,450 ms
2022-04-19 16:22:22,359 ms,396 ms,252 ms,428 ms
2022-04-19 16:22:24,407 ms,397 ms,426 ms,400 ms
2022-04-19 16:22:26,393 ms,393 ms,386 ms,401 ms
2022-04-19 16:22:28,406 ms,415 ms,495 ms,309 ms
2022-04-19 16:22:30,338 ms,271 ms,475 ms,268 ms
2022-04-19 16:22:32,430 ms,546 ms,475 ms,268 ms
2022-04-19 16:22:34,435 ms,549 ms,435 ms,321 ms
2022-04-19 16:22:36,444 ms,588 ms,403 ms,341 ms
2022-04-19 16:22:38,506 ms,548 ms,359 ms,611 ms
2022-04-19 16:22:40,457 ms,384 ms,376 ms,611 ms
2022-04-19 16:22:42,474 ms,384 ms,269 ms,770 ms
2022-04-19 16:22:44,480 ms,384 ms,269 ms,788 ms
2022-04-19 16:22:46,363 ms,365 ms,229 ms,497 ms
2022-04-19 16:22:48,315 ms,274 ms,247 ms,424 ms
2022-04-19 16:22:50,308 ms,282 ms,219 ms,424 ms
2022-04-19 16:22:52,257 ms,291 ms,219 ms,262 ms
2022-04-19 16:22:54,259 ms,280 ms,239 ms,257 ms
2022-04-19 16:22:56,245 ms,280 ms,217 ms,237 ms
2022-04-19 16:22:58,263 ms,258 ms,283 ms,249 ms
2022-04-19 16:23:00,259 ms,250 ms,285 ms,242 ms
2022-04-19 16:23:02,258 ms,237 ms,288 ms,250 ms
2022-04-19 16:23:04,270 ms,245 ms,288 ms,276 ms
2022-04-19 16:23:06,317 ms,245 ms,423 ms,282 ms
2022-04-19 16:23:08,343 ms,323 ms,423 ms,283 ms
2022-04-19 16:23:10,425 ms,421 ms,572 ms,282 ms
2022-04-19 16:23:12,396 ms,331 ms,572 ms,285 ms
2022-04-19 16:23:14,406 ms,348 ms,587 ms,285 ms
2022-04-19 16:23:16,330 ms,248 ms,358 ms,385 ms
2022-04-19 16:23:18,340 ms,248 ms,352 ms,421 ms
2022-04-19 16:23:20,355 ms,223 ms,352 ms,492 ms
2022-04-19 16:23:22,318 ms,254 ms,299 ms,402 ms
2022-04-19 16:23:24,319 ms,254 ms,301 ms,402 ms
2022-04-19 16:23:26,312 ms,245 ms,436 ms,255 ms
2022-04-19 16:23:28,349 ms,357 ms,436 ms,255 ms
2022-04-19 16:23:30,329 ms,334 ms,406 ms,248 ms
2022-04-19 16:23:32,,356 ms,379 ms,
2022-04-19 16:23:34,,377 ms,354 ms,
2022-04-19 16:23:36,,356 ms,288 ms,
2022-04-19 16:23:38,,338 ms,313 ms,
2022-04-19 16:23:40,,293 ms,319 ms,
2022-04-19 16:23:42,,385 ms,310 ms,
2022-04-19 16:23:44,370 ms,341 ms,324 ms,446 ms
2022-04-19 16:23:46,342 ms,359 ms,305 ms,361 ms
2022-04-19 16:23:48,324 ms,340 ms,270 ms,361 ms
2022-04-19 16:23:50,322 ms,350 ms,273 ms,345 ms
2022-04-19 16:23:52,267 ms,283 ms,275 ms,243 ms
2022-04-19 16:23:54,286 ms,279 ms,283 ms,296 ms
2022-04-19 16:23:56,276 ms,250 ms,283 ms,296 ms
2022-04-19 16:23:58,,250 ms,283 ms,
2022-04-19 16:24:00,,,,
2022-04-19 16:24:02,229 ms,243 ms,265 ms,180 ms
2022-04-19 16:24:04,229 ms,243 ms,265 ms,180 ms
2022-04-19 16:24:06,265 ms,243 ms,372 ms,180 ms
2022-04-19 16:24:08,270 ms,280 ms,349 ms,180 ms
2022-04-19 16:24:10,330 ms,282 ms,357 ms,349 ms
2022-04-19 16:24:12,326 ms,292 ms,330 ms,357 ms
2022-04-19 16:24:14,302 ms,280 ms,296 ms,331 ms
2022-04-19 16:24:16,300 ms,276 ms,293 ms,331 ms
2022-04-19 16:24:18,296 ms,277 ms,286 ms,324 ms
2022-04-19 16:24:20,281 ms,260 ms,289 ms,293 ms
2022-04-19 16:24:22,333 ms,310 ms,316 ms,373 ms
2022-04-19 16:24:24,308 ms,303 ms,268 ms,354 ms
2022-04-19 16:24:26,325 ms,297 ms,326 ms,354 ms
2022-04-19 16:24:28,358 ms,326 ms,361 ms,385 ms
2022-04-19 16:24:30,337 ms,326 ms,334 ms,350 ms
2022-04-19 16:24:32,280 ms,262 ms,303 ms,275 ms
2022-04-19 16:24:34,281 ms,259 ms,303 ms,281 ms
2022-04-19 16:24:36,267 ms,274 ms,246 ms,281 ms
2022-04-19 16:24:38,266 ms,274 ms,243 ms,281 ms
2022-04-19 16:24:40,275 ms,289 ms,258 ms,277 ms
2022-04-19 16:24:42,275 ms,286 ms,257 ms,281 ms
2022-04-19 16:24:44,345 ms,282 ms,233 ms,519 ms
2022-04-19 16:24:46,393 ms,422 ms,240 ms,519 ms
2022-04-19 16:24:48,445 ms,451 ms,240 ms,643 ms
2022-04-19 16:24:50,441 ms,450 ms,230 ms,643 ms
2022-04-19 16:24:52,491 ms,510 ms,237 ms,727 ms
2022-04-19 16:24:54,461 ms,276 ms,349 ms,758 ms
2022-04-19 16:24:56,497 ms,385 ms,349 ms,758 ms
2022-04-19 16:24:58,387 ms,342 ms,348 ms,469 ms
2022-04-19 16:25:00,363 ms,318 ms,399 ms,371 ms
2022-04-19 16:25:02,284 ms,297 ms,300 ms,254 ms
2022-04-19 16:25:04,322 ms,318 ms,300 ms,347 ms
2022-04-19 16:25:06,326 ms,311 ms,319 ms,347 ms
2022-04-19 16:25:08,377 ms,321 ms,358 ms,453 ms
2022-04-19 16:25:10,375 ms,330 ms,358 ms,437 ms
2022-04-19 16:25:12,297 ms,321 ms,325 ms,246 ms
2022-04-19 16:25:14,274 ms,270 ms,299 ms,253 ms
2022-04-19 16:25:16,267 ms,268 ms,282 ms,253 ms
2022-04-19 16:25:18,266 ms,267 ms,272 ms,260 ms
2022-04-19 16:25:20,265 ms,273 ms,272 ms,249 ms
2022-04-19 16:25:22,259 ms,268 ms,267 ms,243 ms
2022-04-19 16:25:24,272 ms,251 ms,274 ms,292 ms
2022-04-19 16:25:26,308 ms,368 ms,266 ms,289 ms
2022-04-19 16:25:28,303 ms,345 ms,264 ms,298 ms
2022-04-19 16:25:30,307 ms,359 ms,264 ms,298 ms
2022-04-19 16:25:32,341 ms,378 ms,334 ms,311 ms
2022-04-19 16:25:34,311 ms,321 ms,330 ms,281 ms
2022-04-19 16:25:36,317 ms,329 ms,359 ms,262 ms
2022-04-19 16:25:38,325 ms,315 ms,382 ms,279 ms
2022-04-19 16:25:40,322 ms,312 ms,382 ms,272 ms
2022-04-19 16:25:42,265 ms,269 ms,253 ms,274 ms
2022-04-19 16:25:44,250 ms,266 ms,207 ms,277 ms
2022-04-19 16:25:46,255 ms,261 ms,242 ms,262 ms
2022-04-19 16:25:48,255 ms,258 ms,244 ms,262 ms
2022-04-19 16:25:50,288 ms,255 ms,342 ms,266 ms
2022-04-19 16:25:52,294 ms,256 ms,342 ms,282 ms
2022-04-19 16:25:54,294 ms,257 ms,350 ms,274 ms
2022-04-19 16:25:56,305 ms,276 ms,382 ms,259 ms
2022-04-19 16:25:58,314 ms,276 ms,382 ms,283 ms
2022-04-19 16:26:00,,,406 ms,280 ms
2022-04-19 16:26:02,325 ms,278 ms,406 ms,289 ms
2022-04-19 16:26:04,336 ms,278 ms,443 ms,287 ms
2022-04-19 16:26:06,336 ms,283 ms,443 ms,282 ms
2022-04-19 16:26:08,327 ms,286 ms,443 ms,252 ms
2022-04-19 16:26:10,273 ms,276 ms,279 ms,265 ms
2022-04-19 16:26:12,279 ms,286 ms,279 ms,273 ms
2022-04-19 16:26:14,359 ms,329 ms,477 ms,269 ms
2022-04-19 16:26:16,499 ms,751 ms,477 ms,267 ms
2022-04-19 16:26:18,556 ms,953 ms,449 ms,265 ms
2022-04-19 16:26:20,496 ms,835 ms,400 ms,254 ms
2022-04-19 16:26:22,496 ms,1.02 s,218 ms,249 ms
2022-04-19 16:26:24,363 ms,582 ms,218 ms,289 ms
2022-04-19 16:26:26,254 ms,255 ms,222 ms,283 ms
2022-04-19 16:26:28,242 ms,258 ms,191 ms,275 ms
2022-04-19 16:26:30,265 ms,328 ms,191 ms,275 ms
2022-04-19 16:26:32,263 ms,327 ms,191 ms,271 ms
2022-04-19 16:26:34,286 ms,317 ms,269 ms,272 ms
2022-04-19 16:26:36,300 ms,304 ms,272 ms,325 ms
2022-04-19 16:26:38,335 ms,264 ms,267 ms,474 ms
2022-04-19 16:26:40,355 ms,330 ms,262 ms,474 ms
2022-04-19 16:26:42,374 ms,389 ms,260 ms,474 ms
2022-04-19 16:26:44,365 ms,389 ms,260 ms,446 ms
2022-04-19 16:26:46,337 ms,400 ms,232 ms,378 ms
2022-04-19 16:26:48,281 ms,380 ms,232 ms,232 ms
2022-04-19 16:26:50,263 ms,312 ms,246 ms,232 ms
2022-04-19 16:26:52,265 ms,303 ms,246 ms,245 ms
2022-04-19 16:26:54,304 ms,302 ms,261 ms,349 ms
2022-04-19 16:26:56,316 ms,333 ms,268 ms,349 ms
2022-04-19 16:26:58,326 ms,350 ms,283 ms,345 ms
2022-04-19 16:27:00,320 ms,377 ms,255 ms,329 ms
2022-04-19 16:27:02,304 ms,366 ms,255 ms,290 ms
2022-04-19 16:27:04,406 ms,297 ms,662 ms,260 ms
2022-04-19 16:27:06,604 ms,297 ms,1.25 s,260 ms
2022-04-19 16:27:08,603 ms,293 ms,1.27 s,248 ms
2022-04-19 16:27:10,564 ms,284 ms,1.10 s,306 ms
2022-04-19 16:27:12,496 ms,292 ms,890 ms,306 ms
2022-04-19 16:27:14,398 ms,285 ms,602 ms,306 ms
2022-04-19 16:27:16,274 ms,281 ms,262 ms,279 ms
2022-04-19 16:27:18,276 ms,298 ms,265 ms,265 ms
2022-04-19 16:27:20,282 ms,276 ms,304 ms,265 ms
2022-04-19 16:27:22,277 ms,258 ms,307 ms,265 ms
2022-04-19 16:27:24,406 ms,275 ms,357 ms,586 ms
2022-04-19 16:27:26,422 ms,284 ms,385 ms,596 ms
2022-04-19 16:27:28,432 ms,264 ms,436 ms,596 ms
2022-04-19 16:27:30,460 ms,349 ms,434 ms,596 ms
2022-04-19 16:27:32,547 ms,553 ms,434 ms,654 ms
2022-04-19 16:27:34,394 ms,621 ms,271 ms,291 ms
2022-04-19 16:27:36,413 ms,693 ms,271 ms,277 ms
2022-04-19 16:27:38,377 ms,585 ms,270 ms,277 ms
2022-04-19 16:27:40,278 ms,277 ms,270 ms,287 ms
2022-04-19 16:27:42,281 ms,277 ms,279 ms,288 ms
2022-04-19 16:27:44,277 ms,277 ms,264 ms,289 ms
2022-04-19 16:27:46,286 ms,273 ms,301 ms,285 ms
2022-04-19 16:27:48,302 ms,252 ms,369 ms,285 ms
2022-04-19 16:27:50,301 ms,264 ms,369 ms,269 ms
2022-04-19 16:27:52,323 ms,264 ms,436 ms,269 ms
2022-04-19 16:27:54,364 ms,267 ms,436 ms,388 ms
2022-04-19 16:27:56,308 ms,299 ms,304 ms,321 ms
2022-04-19 16:27:58,291 ms,257 ms,322 ms,295 ms
2022-04-19 16:28:00,336 ms,273 ms,436 ms,299 ms
2022-04-19 16:28:02,315 ms,273 ms,395 ms,278 ms
2022-04-19 16:28:04,330 ms,272 ms,442 ms,278 ms
2022-04-19 16:28:06,330 ms,282 ms,442 ms,266 ms
2022-04-19 16:28:08,331 ms,292 ms,442 ms,260 ms
2022-04-19 16:28:10,286 ms,341 ms,265 ms,251 ms
2022-04-19 16:28:12,285 ms,310 ms,296 ms,250 ms
2022-04-19 16:28:14,306 ms,314 ms,295 ms,310 ms
2022-04-19 16:28:16,351 ms,314 ms,278 ms,461 ms
2022-04-19 16:28:18,350 ms,307 ms,269 ms,474 ms
2022-04-19 16:28:20,328 ms,254 ms,271 ms,460 ms
2022-04-19 16:28:22,322 ms,226 ms,239 ms,500 ms
2022-04-19 16:28:24,309 ms,236 ms,227 ms,463 ms
2022-04-19 16:28:26,312 ms,288 ms,228 ms,419 ms
2022-04-19 16:28:28,328 ms,324 ms,210 ms,452 ms
2022-04-19 16:28:30,319 ms,319 ms,214 ms,423 ms
2022-04-19 16:28:32,330 ms,319 ms,271 ms,399 ms
2022-04-19 16:28:34,373 ms,328 ms,482 ms,308 ms
2022-04-19 16:28:36,345 ms,300 ms,443 ms,293 ms
2022-04-19 16:28:38,314 ms,233 ms,443 ms,264 ms
2022-04-19 16:28:40,339 ms,265 ms,443 ms,310 ms
2022-04-19 16:28:42,324 ms,232 ms,429 ms,310 ms
2022-04-19 16:28:44,276 ms,232 ms,278 ms,318 ms
2022-04-19 16:28:46,273 ms,227 ms,275 ms,318 ms
2022-04-19 16:28:48,284 ms,234 ms,275 ms,344 ms
2022-04-19 16:28:50,251 ms,246 ms,236 ms,270 ms
2022-04-19 16:28:52,254 ms,254 ms,236 ms,271 ms
2022-04-19 16:28:54,377 ms,272 ms,240 ms,620 ms
2022-04-19 16:28:56,465 ms,414 ms,206 ms,777 ms
2022-04-19 16:28:58,443 ms,412 ms,237 ms,681 ms
2022-04-19 16:29:00,435 ms,412 ms,275 ms,619 ms
2022-04-19 16:29:02,439 ms,410 ms,275 ms,631 ms
2022-04-19 16:29:04,351 ms,487 ms,300 ms,264 ms
2022-04-19 16:29:06,361 ms,490 ms,324 ms,269 ms
2022-04-19 16:29:08,425 ms,595 ms,404 ms,276 ms
2022-04-19 16:29:10,404 ms,492 ms,443 ms,276 ms
2022-04-19 16:29:12,404 ms,489 ms,443 ms,280 ms
2022-04-19 16:29:14,319 ms,274 ms,404 ms,278 ms
2022-04-19 16:29:16,280 ms,264 ms,275 ms,302 ms
2022-04-19 16:29:18,293 ms,270 ms,284 ms,326 ms
2022-04-19 16:29:20,301 ms,289 ms,284 ms,331 ms
2022-04-19 16:29:22,307 ms,306 ms,284 ms,331 ms
2022-04-19 16:29:24,312 ms,323 ms,282 ms,330 ms
2022-04-19 16:29:26,291 ms,349 ms,249 ms,273 ms
2022-04-19 16:29:28,307 ms,355 ms,249 ms,315 ms
2022-04-19 16:29:30,272 ms,273 ms,239 ms,306 ms
2022-04-19 16:29:32,271 ms,278 ms,223 ms,313 ms
2022-04-19 16:29:34,272 ms,285 ms,235 ms,297 ms
