"Time","Average Request Rate","edge-server-cv-74d975f7cd-8snqw Requests/2s","edge-server-cv-74d975f7cd-kf4xg Requests/2s","edge-server-cv-74d975f7cd-zpwg8 Requests/2s","avg_requests/30"
2022-04-19 15:37:32,1,1,2,0,2.90
2022-04-19 15:37:34,0,0,0,0,2.76
2022-04-19 15:37:36,0,0,0,0,2.52
2022-04-19 15:37:38,0.667,1,1,0,2.52
2022-04-19 15:37:40,0.667,1,1,0,2.59
2022-04-19 15:37:42,1.33,2,1,1,2.66
2022-04-19 15:37:44,0.333,1,0,0,2.62
2022-04-19 15:37:46,1.67,2,2,1,2.69
2022-04-19 15:37:48,1,1,0,2,2.62
2022-04-19 15:37:50,2,2,2,2,2.72
2022-04-19 15:37:52,0,0,0,0,2.45
2022-04-19 15:37:54,1.33,1,3,0,2.48
2022-04-19 15:37:56,0.667,0,1,1,2.45
2022-04-19 15:37:58,0.333,0,0,1,2.38
2022-04-19 15:38:00,0,0,0,0,2.17
2022-04-19 15:38:02,0.333,0,0,1,2.10
2022-04-19 15:38:04,1,1,1,1,2.17
2022-04-19 15:38:06,1.33,2,2,0,2.31
2022-04-19 15:38:08,1,0,0,3,2.31
2022-04-19 15:38:10,1,2,0,1,2.24
2022-04-19 15:38:12,0.667,0,1,1,2.28
2022-04-19 15:38:14,1.33,1,1,2,2.48
2022-04-19 15:38:16,0.667,0,2,0,2.41
2022-04-19 15:38:18,0,0,0,0,2.38
2022-04-19 15:38:20,1,0,2,1,2.28
2022-04-19 15:38:22,0,0,0,0,2.24
2022-04-19 15:38:24,1.33,1,1,2,2.34
2022-04-19 15:38:26,1,2,1,0,2.34
2022-04-19 15:38:28,0.667,0,1,1,2.31
2022-04-19 15:38:30,1.33,2.99,0,1,2.41
2022-04-19 15:38:32,0.333,0,0,1,2.52
2022-04-19 15:38:34,0.667,1,0,1,2.48
2022-04-19 15:38:36,0.333,0,1,0,2.41
2022-04-19 15:38:38,1.33,1.00,1,2,2.45
2022-04-19 15:38:40,0,0,0,0,2.28
2022-04-19 15:38:42,1,1,1,1,2.28
2022-04-19 15:38:44,1.67,1,3,1,2.41
2022-04-19 15:38:46,1.67,1,1,3,2.59
2022-04-19 15:38:48,0.667,1,1,0,2.62
2022-04-19 15:38:50,0.667,0,1,1,2.55
2022-04-19 15:38:52,1,1,1,1,2.55
2022-04-19 15:38:54,0.667,1,0,1,2.55
2022-04-19 15:38:56,1.67,1,2,2,2.76
2022-04-19 15:38:58,0.336,1.01,0,0,2.76
2022-04-19 15:39:00,0.667,1,1,0,2.59
2022-04-19 15:39:02,0,0,0,0,2.52
2022-04-19 15:39:04,1,1,2,0,2.48
2022-04-19 15:39:06,1.33,2,1,1,2.62
2022-04-19 15:39:08,1,1,0,2,2.55
2022-04-19 15:39:10,1.33,3,1,0,2.59
2022-04-19 15:39:12,1.33,2,1,1,2.48
2022-04-19 15:39:14,0.333,1,0,0,2.34
2022-04-19 15:39:16,1,0,1,2,2.24
2022-04-19 15:39:18,0.667,0,1,1,2.24
2022-04-19 15:39:20,1,0,2,1,2.34
2022-04-19 15:39:22,0.667,0,0,2,2.28
2022-04-19 15:39:24,0,0,0,0,2.14
2022-04-19 15:39:26,1.33,2,2,0,2.21
2022-04-19 15:39:28,1,0,0,3,2.31
2022-04-19 15:39:30,1.33,2,0,2,2.45
2022-04-19 15:39:32,1.33,2,2,0,2.69
2022-04-19 15:39:34,0.667,0,1,1,2.72
2022-04-19 15:39:36,0.333,0,1,0,2.66
2022-04-19 15:39:38,1.33,1.00,2,1,2.76
2022-04-19 15:39:40,0.333,0,0,1,2.59
2022-04-19 15:39:42,0.665,0.996,0,1,2.38
2022-04-19 15:39:44,1,0,2,1,2.62
2022-04-19 15:39:46,1.33,3,1,0,2.59
2022-04-19 15:39:48,0.333,1,0,0,2.52
2022-04-19 15:39:50,1.33,1,3,0,2.45
2022-04-19 15:39:52,0.333,1,0,0,2.34
2022-04-19 15:39:54,1.33,2,2,0,2.41
2022-04-19 15:39:56,1.33,2,1,1,2.41
2022-04-19 15:39:58,1.33,3,0,1,2.48
2022-04-19 15:40:00,2,2,2,2,2.48
2022-04-19 15:40:02,0.667,0,1,1,2.31
2022-04-19 15:40:04,0.667,0,0,2,2.34
2022-04-19 15:40:06,0.667,0,1,1,2.41
2022-04-19 15:40:08,0.333,0,0,1,2.34
2022-04-19 15:40:10,2.33,2,1,4,2.72
2022-04-19 15:40:12,1.33,1.00,2,1,2.69
2022-04-19 15:40:14,0.667,1,1,0,2.79
2022-04-19 15:40:16,1.67,2,2,1,2.79
2022-04-19 15:40:18,1,1,1,1,2.97
2022-04-19 15:40:20,1.33,2,0,2,2.97
2022-04-19 15:40:22,0.671,1.01,1,0,2.97
2022-04-19 15:40:24,0,0,0,0,2.79
2022-04-19 15:40:26,0.667,1,1,0,2.62
2022-04-19 15:40:28,1,1,1,1,2.76
2022-04-19 15:40:30,0.667,0,2,0,2.66
2022-04-19 15:40:32,0.667,0,0,2,2.59
2022-04-19 15:40:34,1.33,2,2,0,2.76
2022-04-19 15:40:36,1.33,2,1,1,3.00
2022-04-19 15:40:38,1,1,0,2,3.03
2022-04-19 15:40:40,0.667,1,1,0,2.83
2022-04-19 15:40:42,1.33,1,1,2,2.72
2022-04-19 15:40:44,1,2,1,0,2.79
2022-04-19 15:40:46,0.333,0,0,1,2.66
2022-04-19 15:40:48,1,1,1,1,2.72
2022-04-19 15:40:50,1.33,0.996,2,1,2.76
2022-04-19 15:40:52,1.33,1,1,2,2.93
2022-04-19 15:40:54,0.667,0,2,0,3.03
2022-04-19 15:40:56,2,1,2,3,3.14
2022-04-19 15:40:58,0.666,0.999,1,0,3.07
2022-04-19 15:41:00,0.667,1,0,1,3.10
2022-04-19 15:41:02,1.67,3,0,2,3.00
2022-04-19 15:41:04,1,1,1,1,2.83
2022-04-19 15:41:06,1,0,3,0,2.69
2022-04-19 15:41:08,1,1,2,0,2.76
2022-04-19 15:41:10,0.667,0,2,0,2.76
2022-04-19 15:41:12,1.33,1,2,1,2.86
2022-04-19 15:41:14,0.667,0,1,1,2.76
2022-04-19 15:41:16,1.67,3,1,1,2.83
2022-04-19 15:41:18,0.333,0,0,1,2.86
2022-04-19 15:41:20,0.667,0,1,1,2.76
2022-04-19 15:41:22,1.33,1,2,1,2.86
2022-04-19 15:41:24,1.33,0,1,3,2.90
2022-04-19 15:41:26,0.333,0,1,0,2.79
2022-04-19 15:41:28,2.33,2,3,2,2.97
2022-04-19 15:41:30,1.33,1,1,2,3.03
2022-04-19 15:41:32,0.333,0,0,1,2.86
2022-04-19 15:41:34,0.667,0,0,2,2.97
2022-04-19 15:41:36,0.667,0,1,1,2.86
2022-04-19 15:41:38,0.333,0,0,1,2.76
2022-04-19 15:41:40,0.333,0,0,1,2.59
2022-04-19 15:41:42,0,0,0,0,2.52
2022-04-19 15:41:44,0.333,1,0,0,2.52
2022-04-19 15:41:46,1,1,1,1,2.48
2022-04-19 15:41:48,1.67,2,2,1,2.59
2022-04-19 15:41:50,0,0,0,0,2.41
2022-04-19 15:41:52,0.667,0,2,0,2.34
2022-04-19 15:41:54,0.667,0,1,1,2.17
2022-04-19 15:41:56,1,1,1,1,2.31
2022-04-19 15:41:58,1.67,1,3,1,2.28
2022-04-19 15:42:00,0,0,0,0,2.10
2022-04-19 15:42:02,0.333,1,0,0,2.07
2022-04-19 15:42:04,0.333,0,1,0,2.07
2022-04-19 15:42:06,0.667,1,1,0,2.14
2022-04-19 15:42:08,0.333,0,1,0,2.17
2022-04-19 15:42:10,1.00,1.00,1,1,2.17
2022-04-19 15:42:12,0.667,0,1,1,2.24
2022-04-19 15:42:14,0,0,0,0,2.10
2022-04-19 15:42:16,1.33,1,2,1,2.28
2022-04-19 15:42:18,0,0,0,0,2.10
2022-04-19 15:42:20,0.667,0,0,2,2.07
2022-04-19 15:42:22,0.333,1,0,0,2.10
2022-04-19 15:42:24,0.333,0,0,1,2.07
2022-04-19 15:42:26,1.33,0,3,1,2.10
2022-04-19 15:42:28,1,1,1,1,2.17
2022-04-19 15:42:30,1,1,2,0,2.28
2022-04-19 15:42:32,0.667,1,1,0,2.34
2022-04-19 15:42:34,0.669,1.01,1,0,2.41
2022-04-19 15:42:36,2,4,0,2,2.48
2022-04-19 15:42:38,1.33,2,1,1,2.59
2022-04-19 15:42:40,0.667,1,1,0,2.59
2022-04-19 15:42:42,1,2,1,0,2.62
2022-04-19 15:42:44,0.667,0,1,1,2.59
2022-04-19 15:42:46,1.33,1,2,1,2.66
2022-04-19 15:42:48,0.333,0,1,0,2.72
2022-04-19 15:42:50,0,0,0,0,2.66
2022-04-19 15:42:52,1.67,0.998,1,3,2.72
2022-04-19 15:42:54,0.667,0,1,1,2.83
2022-04-19 15:42:56,1.33,2,1,1,2.76
2022-04-19 15:42:58,0,0,0,0,2.59
2022-04-19 15:43:00,0.667,0,0,2,2.59
2022-04-19 15:43:02,0,0,0,0,2.45
2022-04-19 15:43:04,1.67,2,1,2,2.66
2022-04-19 15:43:06,0,0,0,0,2.45
2022-04-19 15:43:08,0.667,1,1,0,2.48
2022-04-19 15:43:10,1,1,1,1,2.52
2022-04-19 15:43:12,0.667,0,1,1,2.55
2022-04-19 15:43:14,0.667,1,1,0,2.45
2022-04-19 15:43:16,0.667,1,1,0,2.52
2022-04-19 15:43:18,1.33,0,3,1,2.66
2022-04-19 15:43:20,2,0,1,5,2.97
2022-04-19 15:43:22,0.333,1,0,0,2.90
2022-04-19 15:43:24,1,2,1,0,2.86
2022-04-19 15:43:26,1.33,1,2,1,2.90
2022-04-19 15:43:28,0,0,0,0,2.86
2022-04-19 15:43:30,1.33,1,3,0,3
2022-04-19 15:43:32,1.33,3,0,1,3.14
2022-04-19 15:43:34,1.33,1,0,3,3.21
2022-04-19 15:43:36,1.67,2,2,1,3.28
2022-04-19 15:43:38,0.333,1,0,0,3.17
2022-04-19 15:43:40,0,0,0,0,2.90
2022-04-19 15:43:42,1.33,2,0,2,3.14
2022-04-19 15:43:44,0.667,1,0,1,3
2022-04-19 15:43:46,0.667,0,1,1,2.90
2022-04-19 15:43:48,0.667,1,0,1,2.69
2022-04-19 15:43:50,2.33,2.00,3,2,2.69
2022-04-19 15:43:52,1,1,2,0,2.90
2022-04-19 15:43:54,0,0,0,0,2.79
2022-04-19 15:43:56,2.33,2,1,4,2.90
2022-04-19 15:43:58,1.66,2.99,1,1,3.03
2022-04-19 15:44:00,0.667,0,2,0,2.93
2022-04-19 15:44:02,0.333,0,0,1,2.66
2022-04-19 15:44:04,0,0,0,0,2.48
2022-04-19 15:44:06,1.67,0,3,2,2.52
2022-04-19 15:44:08,0.667,0,0,2,2.69
2022-04-19 15:44:10,1,2,1,0,2.69
2022-04-19 15:44:12,0,0,0,0,2.52
2022-04-19 15:44:14,1.33,1,1,2,2.62
2022-04-19 15:44:16,0.667,2,0,0,2.69
2022-04-19 15:44:18,0.667,1,1,0,2.72
2022-04-19 15:44:20,1.33,1,1,2,2.62
2022-04-19 15:44:22,1,0,1,2,2.52
2022-04-19 15:44:24,0.667,0,1,1,2.48
2022-04-19 15:44:26,0.333,1,0,0,2.17
2022-04-19 15:44:28,2.00,1.99,1,3,2.28
2022-04-19 15:44:30,1.33,2,1,1,2.52
2022-04-19 15:44:32,0.333,0,1,0,2.52
2022-04-19 15:44:34,0.667,0,1,1,2.66
2022-04-19 15:44:36,0.333,0,0,1,2.38
2022-04-19 15:44:38,0.667,1,1,0,2.41
2022-04-19 15:44:40,1,0,1,2,2.48
2022-04-19 15:44:42,0.667,0,0,2,2.66
2022-04-19 15:44:44,1.33,2,1,1,2.62
2022-04-19 15:44:46,0.667,0,0,2,2.45
2022-04-19 15:44:48,0.667,1,0,1,2.45
2022-04-19 15:44:50,0,0,0,0,2.41
2022-04-19 15:44:52,1.00,0,1.00,2,2.48
2022-04-19 15:44:54,1,2,0,1,2.55
2022-04-19 15:44:56,1.33,2,1,1,2.59
2022-04-19 15:44:58,0.667,0,2,0,2.31
2022-04-19 15:45:00,1.33,2,2,0,2.31
2022-04-19 15:45:02,1.33,1,2,1,2.34
2022-04-19 15:45:04,0.333,0,0,1,2.38
2022-04-19 15:45:06,1,1,1,1,2.38
2022-04-19 15:45:08,0.665,0.996,0,1,2.34
2022-04-19 15:45:10,0.667,1,1,0,2.28
2022-04-19 15:45:12,1,0,1,2,2.38
2022-04-19 15:45:14,2.00,3,1,1.99,2.59
2022-04-19 15:45:16,0,0,0,0,2.45
2022-04-19 15:45:18,0.333,0,0,1,2.41
2022-04-19 15:45:20,1.33,1,1,2,2.55
2022-04-19 15:45:22,1,1,1,1,2.86
2022-04-19 15:45:24,0.667,1,1,0,2.83
2022-04-19 15:45:26,1.33,2,2,0,2.90
2022-04-19 15:45:28,2,0,3,3,3.07
2022-04-19 15:45:30,0.667,0,1,1,2.97
2022-04-19 15:45:32,0.667,1,1,0,2.90
2022-04-19 15:45:34,1.33,0,2,2,3.14
2022-04-19 15:45:36,1,2,1,0,3.10
2022-04-19 15:45:38,1,1,0,2,3.14
2022-04-19 15:45:40,1.33,3,1,0,3.17
2022-04-19 15:45:42,1,0,0,3,3.14
2022-04-19 15:45:44,2,1,2,3,3.17
2022-04-19 15:45:46,1,1,2,0,3.31
2022-04-19 15:45:48,0.333,0,1,0,3.31
2022-04-19 15:45:50,1,0,2,1,2.93
2022-04-19 15:45:52,0,0,0,0,2.83
2022-04-19 15:45:54,0.667,1,1,0,2.76
2022-04-19 15:45:56,1,0,2,1,2.79
2022-04-19 15:45:58,1.33,0,3,1,2.83
2022-04-19 15:46:00,0.333,1,0,0,2.83
2022-04-19 15:46:02,2,1,1,4,2.86
2022-04-19 15:46:04,2,1,1,4,2.97
2022-04-19 15:46:06,0,0,0,0,2.86
2022-04-19 15:46:08,0.667,0,2,0,2.93
2022-04-19 15:46:10,0.333,0,1,0,2.76
2022-04-19 15:46:12,1,1,1,1,2.72
2022-04-19 15:46:14,1.33,0,2,2,2.62
2022-04-19 15:46:16,0.667,1,0,1,2.62
2022-04-19 15:46:18,0.333,1,0,0,2.76
2022-04-19 15:46:20,0.667,0,2,0,2.72
2022-04-19 15:46:22,2,3,1,2,2.90
2022-04-19 15:46:24,1,1,1,1,2.79
2022-04-19 15:46:26,0.333,0,1,0,2.62
2022-04-19 15:46:28,1,0,1,2,2.62
2022-04-19 15:46:30,1,3,0,0,2.62
2022-04-19 15:46:32,0.667,0,2,0,2.48
2022-04-19 15:46:34,0.667,1,1,0,2.31
2022-04-19 15:46:36,1,2,1,0,2.24
2022-04-19 15:46:38,1,3,0,0,2.34
2022-04-19 15:46:40,1,1,2,0,2.41
2022-04-19 15:46:42,0.333,1,0,0,2.41
2022-04-19 15:46:44,0.667,0,2,0,2.34
2022-04-19 15:46:46,2,4,0,2,2.38
2022-04-19 15:46:48,1.33,3,1,0,2.52
2022-04-19 15:46:50,1,0,0,3,2.69
2022-04-19 15:46:52,0.667,1,1,0,2.72
2022-04-19 15:46:54,2.33,2,2,3,2.83
2022-04-19 15:46:56,2.33,4,2,1,3.03
2022-04-19 15:46:58,1.33,1,1,2,3.07
2022-04-19 15:47:00,0,0,0,0,2.97
2022-04-19 15:47:02,0.667,0,1,1,3.03
2022-04-19 15:47:04,0.333,0,1,0,3.00
2022-04-19 15:47:06,0.667,2,0,0,2.97
2022-04-19 15:47:08,0.667,1,0,1,2.93
2022-04-19 15:47:10,1,1,1,1,2.90
2022-04-19 15:47:12,1.33,0,2,2,2.97
2022-04-19 15:47:14,2,2,2,2,3.21
2022-04-19 15:47:16,0.333,1,0,0,3
2022-04-19 15:47:18,1,0,0,3,3
2022-04-19 15:47:20,0.667,0,2,0,2.83
2022-04-19 15:47:22,1.67,1,1,3,3.07
2022-04-19 15:47:24,1,0,1,2,2.86
2022-04-19 15:47:26,0.333,0,0,1,2.69
2022-04-19 15:47:28,1.00,1.00,2,0,2.62
2022-04-19 15:47:30,1.33,2,2,0,2.72
2022-04-19 15:47:32,1,3,0,0,2.86
2022-04-19 15:47:34,0.667,0,2,0,3.00
2022-04-19 15:47:36,1,0,2,1,3
2022-04-19 15:47:38,1.67,2,1,2,3.07
2022-04-19 15:47:40,1,0,2,1,3.07
2022-04-19 15:47:42,1,2,0,1,2.97
2022-04-19 15:47:44,0.333,0,0,1,2.79
2022-04-19 15:47:46,0.997,1.99,1,0,2.79
2022-04-19 15:47:48,1.67,1,0,4,2.93
2022-04-19 15:47:50,0.333,0,1,0,2.79
2022-04-19 15:47:52,1,2,,0,2.72
2022-04-19 15:47:54,0.667,2,0,0,2.69
2022-04-19 15:47:56,0,0,0,0,2.76
2022-04-19 15:47:58,1.67,1,1,3,2.83
2022-04-19 15:48:00,0.667,1,0,1,2.72
2022-04-19 15:48:02,0.667,1,0,1,2.48
2022-04-19 15:48:04,0.333,1,0,0,2.55
2022-04-19 15:48:06,0.333,0,1,0,2.45
2022-04-19 15:48:08,1.33,2,1,1,2.41
2022-04-19 15:48:10,0.333,0,0,1,2.34
2022-04-19 15:48:12,1,0,3,0,2.31
2022-04-19 15:48:14,0.667,0,1,1,2.24
2022-04-19 15:48:16,1.33,2,0,2,2.24
2022-04-19 15:48:18,1,2,0,1,2.17
2022-04-19 15:48:20,0,0,0,0,2.18
2022-04-19 15:48:22,0.333,0,0,1,2.10
2022-04-19 15:48:24,0.333,0,1,0,2.07
2022-04-19 15:48:26,1.33,0,2,2,2.31
2022-04-19 15:48:28,0.667,0,2,0,2.14
2022-04-19 15:48:30,2.33,2,4,1,2.34
2022-04-19 15:48:32,1,0,0,3,2.34
2022-04-19 15:48:34,1,2,0,1,2.34
2022-04-19 15:48:36,0.667,1,1,0,2.38
2022-04-19 15:48:38,1.33,1,2,1,2.38
2022-04-19 15:48:40,1.67,1,2,2,2.62
2022-04-19 15:48:42,0.667,1,0,1,2.66
2022-04-19 15:48:44,1,0,1,2,2.69
2022-04-19 15:48:46,1,2,0,1,2.76
2022-04-19 15:48:48,0.667,0,1,1,2.69
2022-04-19 15:48:50,0.667,1,0,1,2.79
2022-04-19 15:48:52,1,1,1,1,2.83
2022-04-19 15:48:54,0.667,1,0,1,2.83
2022-04-19 15:48:56,1.34,3.01,1,0,3.03
2022-04-19 15:48:58,0.333,1,0,0,3.03
2022-04-19 15:49:00,0,0,0,0,2.69
2022-04-19 15:49:02,2.33,2.99,2,2,2.93
2022-04-19 15:49:04,0.667,0,2,0,2.86
2022-04-19 15:49:06,0.333,0,1,0,2.76
2022-04-19 15:49:08,0,0,0,0,2.48
2022-04-19 15:49:10,0,0,0,0,2.24

