"Time","Average Request Rate","edge-server-cv-78d887c496-hwv29 Requests/2s","edge-server-cv-78d887c496-rpl2c Requests/2s","avg_requests/30"
2022-04-19 14:18:58,3.50,3,4,5
2022-04-19 14:19:00,3,5,1,4.86
2022-04-19 14:19:02,4,4,4,5.07
2022-04-19 14:19:04,2.50,4,1,5.10
2022-04-19 14:19:06,1.50,2,1,5.03
2022-04-19 14:19:08,3,4,2,5.14
2022-04-19 14:19:10,2.50,3,2,4.83
2022-04-19 14:19:12,3,5,1,5.10
2022-04-19 14:19:14,3.50,1,6,5.24
2022-04-19 14:19:16,0.500,1,0,5.03
2022-04-19 14:19:18,3.50,3,4,5.21
2022-04-19 14:19:20,0.500,0,1,5
2022-04-19 14:19:22,3.50,6,1,5.17
2022-04-19 14:19:24,4,3,5,5.48
2022-04-19 14:19:26,2,3,1,5.55
2022-04-19 14:19:28,4,2,6,5.76
2022-04-19 14:19:30,2,1,3,5.69
2022-04-19 14:19:32,3.50,3,4,5.72
2022-04-19 14:19:34,2,3,1,5.79
2022-04-19 14:19:36,2.50,4,1,5.55
2022-04-19 14:19:38,2.50,4,1,5.59
2022-04-19 14:19:40,5.50,9,2,5.66
2022-04-19 14:19:42,3.50,2,5,5.55
2022-04-19 14:19:44,1.50,2,1,5.41
2022-04-19 14:19:46,0.500,0,1,5.48
2022-04-19 14:19:48,3.50,5,2,5.72
2022-04-19 14:19:50,4.50,4,5,6.07
2022-04-19 14:19:52,2.50,2,3,5.79
2022-04-19 14:19:54,1,1,1,5.66
2022-04-19 14:19:56,3,3,3,5.69
2022-04-19 14:19:58,2,3,1,5.45
2022-04-19 14:20:00,2.50,1,4,5.48
2022-04-19 14:20:02,1,1,1,5.24
2022-04-19 14:20:04,2,2,2,5.24
2022-04-19 14:20:06,4,4,4,5.24
2022-04-19 14:20:08,2.50,4,1,5.17
2022-04-19 14:20:10,3,4,2,5.07
2022-04-19 14:20:12,1.50,1,2,4.86
2022-04-19 14:20:14,1.50,0,3,4.76
2022-04-19 14:20:16,2.50,3,2,4.69
2022-04-19 14:20:18,0.500,1,0,4.34
2022-04-19 14:20:20,3,4,2,4.34
2022-04-19 14:20:22,0.500,0,1,4.24
2022-04-19 14:20:24,2.50,4,1,4.31
2022-04-19 14:20:26,1.49,2,0.981,4.24
2022-04-19 14:20:28,0.500,1,0,4.28
2022-04-19 14:20:30,4.50,5,4,4.38
2022-04-19 14:20:32,4,5,3,4.66
2022-04-19 14:20:34,4,0,8,4.90
2022-04-19 14:20:36,2.50,2,3,4.86
2022-04-19 14:20:38,1.50,1,2,4.69
2022-04-19 14:20:40,3,3,3,4.90
2022-04-19 14:20:42,4.49,3.99,5,5.21
2022-04-19 14:20:44,1.98,1,2.97,5.31
2022-04-19 14:20:46,2.50,2,3,5.21
2022-04-19 14:20:48,2,3,1,5.28
2022-04-19 14:20:50,3.49,3.99,3,5.38
2022-04-19 14:20:52,2,2,2,5.55
2022-04-19 14:20:54,2,4,0,5.48
2022-04-19 14:20:56,3,3,3,5.55
2022-04-19 14:20:58,2.50,3,2,5.66
2022-04-19 14:21:00,3,2,4,5.48
2022-04-19 14:21:02,2.50,3,2,5.34
2022-04-19 14:21:04,1,1,1,5.17
2022-04-19 14:21:06,2.50,2,3,5.34
2022-04-19 14:21:08,2,1,3,5.24
2022-04-19 14:21:10,1.50,1,2,5.07
2022-04-19 14:21:12,1.50,2,0.998,4.93
2022-04-19 14:21:14,2,2,2,5
2022-04-19 14:21:16,2.50,1,4,5.10
2022-04-19 14:21:18,1.50,2,1,5.03
2022-04-19 14:21:20,3.50,4,3,5
2022-04-19 14:21:22,1.50,0,3,5.07
2022-04-19 14:21:24,5,5,5,5.14
2022-04-19 14:21:26,1,0,2,5.14
2022-04-19 14:21:28,3,4,2,5.24
2022-04-19 14:21:30,3,4,2,5.24
2022-04-19 14:21:32,3,4,2,5.28
2022-04-19 14:21:34,3,4,2,5.38
2022-04-19 14:21:36,2,2,2,5.45
2022-04-19 14:21:38,2.50,2,3,5.48
2022-04-19 14:21:40,3,4,2,5.62
2022-04-19 14:21:42,1.50,0,3,5.45
2022-04-19 14:21:44,3,2,4,5.41
2022-04-19 14:21:46,1,2,0,5.10
2022-04-19 14:21:48,3.01,4.02,2,5.28
2022-04-19 14:21:50,2.50,2,3,5.17
2022-04-19 14:21:52,3.50,5,2,5.28
2022-04-19 14:21:54,1.50,2,1,5.03
2022-04-19 14:21:56,1.50,1,2,5.10
2022-04-19 14:21:58,2,2,2,5.03
2022-04-19 14:22:00,2,3,1,4.86
2022-04-19 14:22:02,1,1,1,4.66
2022-04-19 14:22:04,4.50,5,4,4.69
2022-04-19 14:22:06,2.50,2,3,4.66
2022-04-19 14:22:08,1,1,1,4.41
2022-04-19 14:22:10,5,4,6,4.66
2022-04-19 14:22:12,4,4,4,4.90
2022-04-19 14:22:14,3,4,2,5.03
2022-04-19 14:22:16,2,1,3,5.07
2022-04-19 14:22:18,3,5,1,5
2022-04-19 14:22:20,0.500,0,1,4.93
2022-04-19 14:22:22,2.50,2,3,4.83
2022-04-19 14:22:24,3.50,4,3,4.86
2022-04-19 14:22:26,1.50,2,1,4.83
2022-04-19 14:22:28,3,3,3,4.86
2022-04-19 14:22:30,3,3,3,4.93
2022-04-19 14:22:32,2.50,3,2,5
2022-04-19 14:22:34,1,2,0,4.79
2022-04-19 14:22:36,3,2,4,4.83
2022-04-19 14:22:38,3.50,3,4,4.93
2022-04-19 14:22:40,4.51,3,6.01,4.97
2022-04-19 14:22:42,3,1,5,4.72
2022-04-19 14:22:44,1.50,2,1,4.76
2022-04-19 14:22:46,3,3,3,5.10
2022-04-19 14:22:48,5,6,4,5.34
2022-04-19 14:22:50,1,0,2,5.34
2022-04-19 14:22:52,0.500,1,0,5.21
2022-04-19 14:22:54,1.50,2,1,5
2022-04-19 14:22:56,1.50,1,2,5.17
2022-04-19 14:22:58,4,5,3,5.17
2022-04-19 14:23:00,2.50,2,3,5.10
2022-04-19 14:23:02,3.98,4.96,3,5.17
2022-04-19 14:23:04,1.50,2,1,5.14
2022-04-19 14:23:06,2.50,5,0,5.21
2022-04-19 14:23:08,2.50,1,4,5.00
2022-04-19 14:23:10,2,0,4,4.93
2022-04-19 14:23:12,1.50,1,2,4.69
2022-04-19 14:23:14,2,2,2,4.52
2022-04-19 14:23:16,3.50,5,1.99,4.38
2022-04-19 14:23:18,2,1,3,4.21
2022-04-19 14:23:20,2,2,2,4.28
2022-04-19 14:23:22,2.50,3,2,4.52
2022-04-19 14:23:24,1.50,1,2,4.45
2022-04-19 14:23:26,3.50,3,4,4.66
2022-04-19 14:23:28,5,4,6,4.72
2022-04-19 14:23:30,4.50,6,3,4.93
2022-04-19 14:23:32,6,7,5,5.10
2022-04-19 14:23:34,2,3,1,5.17
2022-04-19 14:23:36,3.50,4,3,5.24
2022-04-19 14:23:38,3,2,4,5.31
2022-04-19 14:23:40,2.50,3,2,5.21
2022-04-19 14:23:42,2.50,3,2,5.28
2022-04-19 14:23:44,2,1,3,5.31
2022-04-19 14:23:46,1.50,3,0,5.24
2022-04-19 14:23:48,3,3,3,5.48
2022-04-19 14:23:50,3,2,4,5.66
2022-04-19 14:23:52,3.50,3,4,5.83
2022-04-19 14:23:54,4,4,4,6.03
2022-04-19 14:23:56,5.00,7,2.99,6.28
2022-04-19 14:23:58,2,2,2,6.21
2022-04-19 14:24:00,1.50,0,3,6.03
2022-04-19 14:24:02,1,2,0,5.66
2022-04-19 14:24:04,5,6,4,5.86
2022-04-19 14:24:06,1.50,1,2,5.52
2022-04-19 14:24:08,0,0,0,5.52
2022-04-19 14:24:10,2,1,3,5.48
2022-04-19 14:24:12,3.50,3,4,5.62
2022-04-19 14:24:14,3.50,5,2,5.59
2022-04-19 14:24:16,4,5,3,5.72
2022-04-19 14:24:18,3.50,1,6,5.69
2022-04-19 14:24:20,2.50,2,3,5.48
2022-04-19 14:24:22,1.50,2,1,5.34
2022-04-19 14:24:24,3.50,5,2,5.14
2022-04-19 14:24:26,2.50,3,2,4.86
2022-04-19 14:24:28,4,5,3,4.97
2022-04-19 14:24:30,1,1,1,4.93
2022-04-19 14:24:32,2,1,3,4.93
2022-04-19 14:24:34,3.50,5,2,5.07
2022-04-19 14:24:36,1,0,2,4.97
2022-04-19 14:24:38,1,1,1,4.97
2022-04-19 14:24:40,0.500,0,1,4.86
2022-04-19 14:24:42,3,0,6,5
2022-04-19 14:24:44,2.50,2,3,4.83
2022-04-19 14:24:46,2,1,3,4.62
2022-04-19 14:24:48,2.50,1,4,4.55
2022-04-19 14:24:50,2,2,2,4.55
2022-04-19 14:24:52,3,3,3,4.90
2022-04-19 14:24:54,2.50,2,3,4.79
2022-04-19 14:24:56,3,2,4,4.97
2022-04-19 14:24:58,4,2,6,4.97
2022-04-19 14:25:00,0.500,1,0,4.97
2022-04-19 14:25:02,2.50,2,3,5
2022-04-19 14:25:04,0.500,1,0,4.79
2022-04-19 14:25:06,1.50,2,1,4.90
2022-04-19 14:25:08,2.50,1,4,4.97
2022-04-19 14:25:10,3,2,4,4.97
2022-04-19 14:25:12,3.50,1,6,5.03
2022-04-19 14:25:14,3,3,3,5.14
2022-04-19 14:25:16,1,0,2,5.14
2022-04-19 14:25:18,3.50,3,4,5.03
2022-04-19 14:25:20,3,5,1,4.90
2022-04-19 14:25:22,4,5,3,5.00
2022-04-19 14:25:24,2.50,3,2,4.79
2022-04-19 14:25:26,2,4,0,4.59
2022-04-19 14:25:28,2,3,1,4.45
2022-04-19 14:25:30,3.50,3,4,4.62
2022-04-19 14:25:32,2.50,2,3,4.66
2022-04-19 14:25:34,3.50,5,2,4.97
2022-04-19 14:25:36,3,2,4,5.10
2022-04-19 14:25:38,2.50,1,4,5.21
2022-04-19 14:25:40,2.50,3,2,5.10
2022-04-19 14:25:42,4.99,3,6.99,5.14
2022-04-19 14:25:44,2,1,3,5.17
2022-04-19 14:25:46,2,1,3,5.34
2022-04-19 14:25:48,1.50,2,1.00,5.28
2022-04-19 14:25:50,2.50,4,1,5.03
2022-04-19 14:25:52,4,4,4,5.14
2022-04-19 14:25:54,2,3,1,5.28
2022-04-19 14:25:56,2.50,4,1,5.38
2022-04-19 14:25:58,3,2,4,5.38
2022-04-19 14:26:00,1,1,1,5.24
2022-04-19 14:26:02,3,3,3,5.24
2022-04-19 14:26:04,3.50,3,4,5.14
2022-04-19 14:26:06,3,4,2,5.10
2022-04-19 14:26:08,5,6,4,5.31
2022-04-19 14:26:10,3.50,2,5,5.38
2022-04-19 14:26:12,3,1,5,5.17
2022-04-19 14:26:14,1.50,2,1,5.14
2022-04-19 14:26:16,3,2,4,5.24
2022-04-19 14:26:18,4.50,2,7,5.66
2022-04-19 14:26:20,4,7,1,5.83
2022-04-19 14:26:22,7,7,,6.03
2022-04-19 14:26:24,2.50,1,4,6.00
2022-04-19 14:26:26,2,2,2,5.97
2022-04-19 14:26:28,3,3,3,5.90
2022-04-19 14:26:30,4.50,6,3,6.10
2022-04-19 14:26:32,1.50,2,1,5.93
2022-04-19 14:26:34,3.50,4,3,6.07
2022-04-19 14:26:36,3,3,3,6.07
2022-04-19 14:26:38,3,3,3,5.86
2022-04-19 14:26:40,3,2,4,5.66
2022-04-19 14:26:42,3,2,4,5.76
2022-04-19 14:26:44,1.50,2,1,5.76
2022-04-19 14:26:46,3,4,2,5.72
2022-04-19 14:26:48,2,2,2,5.45
2022-04-19 14:26:50,2,2,2,5.07
2022-04-19 14:26:52,1.50,2,1,4.90
2022-04-19 14:26:54,3,2,4,5.03
2022-04-19 14:26:56,0.500,1,0,4.93
2022-04-19 14:26:58,4,4,,5.00
2022-04-19 14:27:00,5.00,5,5.00,5.34
2022-04-19 14:27:02,1,2,0,5.21
2022-04-19 14:27:04,1.50,3,0,5.24
2022-04-19 14:27:06,2.50,2,3,5.34
2022-04-19 14:27:08,1.50,3,0,5.41
2022-04-19 14:27:10,3,4,2,5.38
2022-04-19 14:27:12,2,2,2,5.41
2022-04-19 14:27:14,2,1,3,5.38
2022-04-19 14:27:16,2.50,2,3,5.34
2022-04-19 14:27:18,2.50,2,3,5.41
2022-04-19 14:27:20,3,3,3,5.48
2022-04-19 14:27:22,1.50,1,2,5.31
2022-04-19 14:27:24,4,3,5,5.45
2022-04-19 14:27:26,0.997,0,1.99,5.52
2022-04-19 14:27:28,1.50,2,1,5.38
2022-04-19 14:27:30,2,2,2,5.10
2022-04-19 14:27:32,2,0,4,5.07
2022-04-19 14:27:34,1,1,1,5.14
2022-04-19 14:27:36,2,2,2,5
2022-04-19 14:27:38,2,3,1,4.83
2022-04-19 14:27:40,1.50,2,1,4.72
2022-04-19 14:27:42,3,3,3,4.90
2022-04-19 14:27:44,2,3,1,4.83
2022-04-19 14:27:46,4.50,6,3,4.83
2022-04-19 14:27:48,2.50,1,4,4.86
2022-04-19 14:27:50,2,2,2,4.90
2022-04-19 14:27:52,2.50,2,3,5.03
2022-04-19 14:27:54,2.50,2,3,4.79
2022-04-19 14:27:56,1.50,3,0,4.76
2022-04-19 14:27:58,2,2,2,4.76
2022-04-19 14:28:00,4,3,5,4.83
2022-04-19 14:28:02,3.50,4,3,4.93
2022-04-19 14:28:04,4,5,3,5.17
2022-04-19 14:28:06,0.500,1,0,5.21
2022-04-19 14:28:08,4.50,4,5,5.28
2022-04-19 14:28:10,4,4,4,5.38
2022-04-19 14:28:12,2.50,3,2,5.41
2022-04-19 14:28:14,1,0,2,5.55
2022-04-19 14:28:16,1.50,3,0,5.62
2022-04-19 14:28:18,1.50,2,1,5.55
2022-04-19 14:28:20,2.50,5,0,5.52
2022-04-19 14:28:22,1.50,2,1,5.45
2022-04-19 14:28:24,3,2,4,5.38
2022-04-19 14:28:26,2,3,1,5.48
2022-04-19 14:28:28,1.50,0,3,5.34
2022-04-19 14:28:30,3,3,3,5.17
2022-04-19 14:28:32,2.50,2,3,5.07
2022-04-19 14:28:34,2,2,2,5.03
2022-04-19 14:28:36,1.50,1,2,5.21
2022-04-19 14:28:38,1.00,1,1.01,4.86
2022-04-19 14:28:40,2.50,2,3,5
2022-04-19 14:28:42,2,1,3,4.72
2022-04-19 14:28:44,4.00,5,2.99,4.97
2022-04-19 14:28:46,0,0,0,4.79
2022-04-19 14:28:48,0,0,0,4.45
2022-04-19 14:28:50,0,0,0,4.10

